Date,Close,High,Low,Open,Volume
2025-08-13,43229.66015625,43979.53708716255,43110.47441888641,43711.36917809449,36102
2025-08-14,43219.7265625,43547.487329261465,43070.74439579024,43373.674801433415,19276
2025-08-18,44386.75390625,44615.19323044865,43681.57164459331,43686.5377168585,19031
2025-08-19,45330.30859375,45578.612212252134,44222.87445523047,44496.00843558282,26437
2025-08-20,45077.0390625,45558.74808409993,44823.769370730966,45320.376609493775,24481
2025-08-21,45578.61328125,46393.049169038735,45166.42926486912,45290.58107703204,23855
2025-08-22,45345.20703125,45812.017836302846,45072.07304957015,45404.79989998015,12049
2025-08-25,46532.1015625,46988.98025446905,45176.36370480923,45176.36370480923,28088
2025-08-26,45196.2265625,46571.8286675228,44913.16042536534,46263.932167481595,53221
2025-08-28,43850.421875,45022.41503043601,43547.49144075594,45022.41503043601,47648
2025-08-29,44034.1640625,44272.535538196404,43353.81214228318,43974.571193575895,21171
2025-09-01,44515.87109375,44585.39610438281,43835.519203986085,44049.06030807257,13821
2025-09-02,44853.56640625,45032.34501460086,44148.384117754926,44694.6520877159,16508
2025-09-03,45017.44921875,45384.93860012755,44689.68841914299,44694.65449186431,8745
2025-09-04,44361.92578125,45449.495662151574,44272.53647597042,45201.19203637496,15279
2025-09-05,43984.50390625,44684.72012514819,43855.386021914164,44595.330820608,9964
2025-09-08,43979.5390625,44307.29985497121,43711.37114138719,44168.249821801604,8573
2025-09-09,44009.33203125,44198.04277568551,43636.876614600966,43999.39988680603,7704
2025-09-10,44123.55078125,44307.295449669386,43900.07753587507,44148.38114184722,11200
2025-09-11,43964.640625,44307.29963359878,43721.30306816898,44123.554947828416,11731
2025-09-12,43830.5546875,44198.04404245978,43681.57251657036,44198.04404245978,6344
2025-09-15,44039.1328125,44287.43644811401,43746.13452247548,43994.438158089484,14240
2025-09-16,45027.37890625,45156.49678995602,44063.96085090507,44188.11266216086,23029
2025-09-17,45047.2421875,45578.61192777809,44908.19216200667,44908.19216200667,14185
2025-09-18,43964.640625,45340.242731983504,43795.7941569948,45340.242731983504,30765
2025-09-19,43274.35546875,44183.146730028544,43194.89830929395,43999.40204878643,43916
2025-09-22,43110.4765625,43527.6266640148,43006.1890371213,43254.49266897535,18035
2025-09-23,42489.71484375,43299.18463331653,42310.936239919356,43299.18463331653,19571
2025-09-24,42117.26171875,42703.258285524265,42017.94026675436,42489.71716373364,11810
2025-09-25,42335.76953125,42658.56425494868,42042.77124358504,42087.46589763563,20188
2025-09-26,40960.16796875,42211.618299512,40736.694695399645,42211.618299512,36267
2025-09-29,40806.21875,41536.23142570281,40453.62759370817,40960.16700133869,48213
2025-09-30,40408.9296875,41218.39946002827,40299.676098569806,41183.636954459565,35445
2025-10-01,41824.265625,41958.349592213846,40662.204575813346,40706.899231551295,28755
2025-10-03,42584.0703125,42842.3060741618,41362.41651694606,41824.261244533525,40218
2025-10-06,41908.68359375,42519.510478692675,41834.192510220404,42514.54440645737,15655
2025-10-07,41412.078125,42097.39612251169,41337.58703831395,41824.262137996164,12080
2025-10-08,41417.046875,41729.90945930755,40984.99854428957,41407.114729466426,13956
2025-10-09,41456.7734375,41799.432441715086,41084.31799813578,41715.00920879253,20885
2025-10-10,41357.453125,41854.060391150335,41069.420910632805,41754.73893792027,22112
2025-10-13,40731.7265625,41253.16417394386,40334.44076330468,41044.589129366315,28590
2025-10-14,40195.38671875,41178.66897354522,40096.0652788717,41069.41538967908,16757
2025-10-15,40259.94921875,40503.28676799371,39976.88309003793,40503.28676799371,14197
2025-10-16,40741.65625,41009.824148281325,40264.91331972209,40473.488351718675,14326
2025-10-17,40761.5234375,40989.96277450353,40503.28766523514,40989.96277450353,21226
2025-10-20,41436.90625,41615.684848394056,40627.43648504914,41168.73835240892,20493
2025-10-21,41302.828125,41814.33363141758,41049.558408230136,41794.469339906216,1828
2025-10-23,41178.671875,41710.04161578932,41084.31650046732,41620.65231360046,20796
2025-10-24,40746.625,41382.28228214503,40523.15173674589,41382.28228214503,15774
2025-10-27,40706.8984375,40955.20207564505,40538.05196356137,40811.18596552093,10116
2025-10-28,40637.37109375,40915.471152560945,40235.11922296988,40915.471152560945,23929
2025-10-29,41079.3515625,41133.978359790555,40597.64253184689,40870.77651829968,9873
2025-10-30,40667.16796875,41213.43594732644,40339.40718160413,41079.35198894859,20231
2025-10-31,40920.43359375,41218.397916034584,40567.84247904657,40840.976441140774,19186
2025-11-03,40483.421875,41019.757689830716,40225.18611230373,41019.757689830716,13219
2025-11-04,39862.6640625,40592.676721922886,39728.58010464682,40592.676721922886,25177
2025-11-06,39490.20703125,40021.57676871777,39405.78380193269,40011.64462409221,16531
2025-11-07,39470.34375,39629.25806806744,39063.12580995219,39529.93661927529,16589
2025-11-10,39927.22265625,40066.27268540112,39261.7689453125,39480.27613397854,12791
2025-11-11,39947.0859375,40071.23774610735,39505.10549885785,39827.900201236946,11613
2025-11-12,40443.6953125,40587.71141810689,39947.088051786595,39947.088051786595,14708
2025-11-13,39316.39453125,40965.13054039172,38948.90517981479,40691.99656297366,52117
2025-11-14,39495.171875,39713.67904996542,38501.95744333899,39231.97005060983,36040
2025-11-17,39202.17578125,40096.068819079366,39107.820405034676,39723.61338665046,12913
2025-11-18,38988.63671875,39430.617188495096,38477.131231292195,39430.617188495096,24783
