Date,Close,High,Low,Open,Volume
2025-06-23,488.5751647949219,500.898061440396,461.2353165355041,476.900865697043,116309
2025-06-24,500.3492736816406,503.8914688567347,496.90683463495816,497.355859015165,115141
2025-06-25,506.0866394042969,513.8695051663875,500.8980419291778,513.8695051663875,81019
2025-06-26,495.7593688964844,511.8739118842026,486.479765089049,510.67653382821453,72293
2025-06-27,498.0044250488281,504.8892726770336,494.4123213665418,498.8525652926523,51688
2025-06-30,522.8497314453125,522.8996095066278,501.8958299942599,506.78506757605476,203111
2025-07-01,542.3568115234375,548.7427868943084,522.8996170386217,528.8365680488389,260305
2025-07-02,531.0317993164062,562.612289011812,525.8432014670457,548.7927150035581,102636
2025-07-03,548.1940307617188,548.7926893350678,524.3464695374148,537.6172623901911,158957
2025-07-04,541.9077758789062,553.731799591101,533.8255811601288,552.7339947665026,91042
2025-07-07,534.9730834960938,541.8080222151339,529.8343642656281,539.213754019877,55960
2025-07-08,525.0948486328125,534.8733248451686,518.9583239035198,534.8733248451686,53386
2025-07-09,528.3875732421875,538.8146466398044,520.9040364833013,520.9040364833013,37685
2025-07-10,532.1293334960938,535.8212237543386,523.8475651229567,535.8212237543386,32645
2025-07-11,523.8475341796875,532.5783264160157,521.0536928442972,532.5783264160157,44551
2025-07-14,519.5071411132812,523.8475680307796,509.47918368348166,517.4117143004516,47669
2025-07-15,534.7236328125,536.8189985952462,522.1013773512316,523.8475358039112,63528
2025-07-16,542.1572875976562,551.786129590218,535.8212506147324,538.7647873560736,127225
2025-07-17,534.573974609375,543.8036699246092,528.8365964404456,541.8080601267208,50083
2025-07-18,523.6978759765625,540.7104981961165,519.8563514825083,537.1682420898328,69729
2025-07-21,521.1535034179688,528.8366135689231,519.9062472538911,523.8475889126124,43032
2025-07-22,515.0170288085938,527.838797545397,513.8695288012844,520.8541631733408,47013
2025-07-23,513.4703369140625,522.7499704773119,509.37936150534097,517.3618000793718,62084
2025-07-24,512.1732177734375,525.8431564106476,509.42925443353374,513.8694982001584,35734
2025-07-25,493.5641784667969,518.8585382989903,489.0241784369161,511.37500168890875,91092
2025-07-28,478.74676513671875,503.3426795781874,470.5647834612629,503.3426795781874,76930
2025-07-29,501.3470764160156,502.3947593645444,470.96390550161857,476.8509482302711,71659
2025-07-30,509.42926025390625,513.869504071262,493.91340682577606,503.7417908092954,140994
2025-07-31,507.78289794921875,516.8130503943723,487.02856860063076,495.4101235125379,89806
2025-08-01,503.3426818847656,511.8739013944376,499.1020111617123,511.8739013944376,41568
2025-08-04,512.8717041015625,514.7675577184395,500.34926514079655,503.3426797561753,52827
2025-08-05,515.765380859375,521.8519664324368,511.87391736107094,518.7088566144852,43292
2025-08-06,500.5487976074219,520.8042543609001,493.91340143582573,520.8042543609001,107300
2025-08-07,505.93695068359375,509.17981653372186,485.43207264225,494.41231653491235,49978
2025-08-08,497.9544982910156,504.6896810295808,489.5729436398076,504.6896810295808,31349
2025-08-11,498.6529846191406,508.1321309000448,489.42328955615505,508.1321309000448,44367
2025-08-12,496.5575866699219,502.89365367438944,491.9178001219722,491.9178001219722,40327
2025-08-13,494.61187744140625,498.90242612585354,485.98084110895894,494.4123042907209,68421
2025-08-14,469.9162292480469,484.9331807940467,469.9162292480469,471.9617171102553,157023
2025-08-18,482.03955078125,486.7292155165856,446.41790385567515,472.9595201482026,180772
2025-08-19,491.9178161621094,493.9134259639841,470.9140351776139,470.9639132424252,70910
2025-08-20,490.4211120605469,493.91342923696993,480.94196543882725,489.47318521813924,58712
2025-08-21,488.42547607421875,493.8136161961559,483.93535423083983,489.92218335534506,44291
2025-08-22,478.34765625,490.82021732478404,475.9529306137592,488.4254916885432,50545
2025-08-25,476.7012939453125,491.36903824694235,474.05711703395446,478.84656840356183,91875
2025-08-26,457.7928771972656,479.9441582183481,453.7019014564994,478.94635331560727,110209
2025-08-28,454.54998779296875,469.9660849245505,449.9601098378274,454.00120730503284,61406
2025-08-29,452.0,460.0,448.70001220703125,455.6000061035156,54239
2025-09-01,452.79998779296875,460.0,445.1000061035156,454.25,92856
2025-09-02,450.3999938964844,459.0,446.0,449.0,89312
2025-09-03,461.6000061035156,465.0,436.6000061035156,446.0,126883
2025-09-04,445.0,468.70001220703125,442.1000061035156,462.0,70350
2025-09-05,444.5,458.0,435.04998779296875,454.95001220703125,76971
2025-09-08,448.0,459.8999938964844,445.3999938964844,455.0,66446
2025-09-09,446.45001220703125,454.8500061035156,440.0,448.95001220703125,77039
2025-09-10,453.0,466.79998779296875,450.0,452.0,123404
2025-09-11,452.3999938964844,459.8999938964844,449.25,458.0,53957
2025-09-12,449.1000061035156,456.29998779296875,447.8500061035156,456.29998779296875,63736
2025-09-15,470.54998779296875,471.54998779296875,443.04998779296875,443.04998779296875,514472
2025-09-16,491.25,494.04998779296875,466.6000061035156,476.0,774459
2025-09-17,490.1000061035156,505.1000061035156,486.0,495.0,547084
2025-09-18,465.6499938964844,496.70001220703125,465.6000061035156,496.0,515276
2025-09-19,488.8999938964844,488.8999938964844,457.0,465.0,418230
2025-09-22,501.79998779296875,511.04998779296875,491.29998779296875,498.0,605656
2025-09-23,497.45001220703125,513.0,492.29998779296875,513.0,227198
2025-09-24,478.04998779296875,495.3999938964844,475.3500061035156,490.0,201787
2025-09-25,482.29998779296875,491.0,475.0,476.5,118531
2025-09-26,495.79998779296875,502.8999938964844,475.70001220703125,482.29998779296875,616350
2025-09-29,520.5499877929688,520.5499877929688,497.29998779296875,505.0,717906
2025-09-30,515.25,540.9000244140625,509.8500061035156,528.4500122070312,704646
2025-10-01,532.25,535.0,509.70001220703125,519.9000244140625,378656
2025-10-03,558.8499755859375,558.8499755859375,540.0,545.0,618352
2025-10-06,586.75,586.75,569.9500122070312,579.9000244140625,988942
2025-10-07,592.5,613.7999877929688,566.75,603.0,1455349
2025-10-08,564.0999755859375,591.9500122070312,562.9000244140625,591.9500122070312,543172
2025-10-09,548.0,564.2000122070312,541.6500244140625,560.0,442867
2025-10-10,575.4000244140625,575.4000244140625,548.5499877929688,548.5499877929688,290044
2025-10-13,574.3499755859375,577.75,554.0,570.0,1106780
2025-10-14,565.7999877929688,584.0,559.0,584.0,363370
2025-10-15,565.75,574.4500122070312,551.6500244140625,565.7999877929688,370540
2025-10-16,553.9500122070312,571.9000244140625,550.2000122070312,564.0499877929688,185623
2025-10-17,535.8499755859375,558.0,531.0,556.3499755859375,276803
2025-10-20,535.2000122070312,552.75,522.25,539.0,417690
2025-10-21,541.9000244140625,555.0,538.5999755859375,540.0499877929688,105011
2025-10-23,556.9000244140625,559.9500122070312,539.9000244140625,543.5999755859375,408631
2025-10-24,568.9000244140625,575.0,551.8499755859375,556.9500122070312,821064
2025-10-27,563.7000122070312,579.9500122070312,560.0,570.0,200847
2025-10-28,554.3499755859375,566.2000122070312,552.7000122070312,562.0,112144
2025-10-29,541.7999877929688,556.75,538.0,554.8499755859375,212779
2025-10-30,540.5499877929688,548.7000122070312,538.0,547.8499755859375,86182
2025-10-31,530.6500244140625,547.1500244140625,528.0,542.7000122070312,178742
2025-11-03,553.5,557.1500244140625,532.9500122070312,532.9500122070312,4095066
2025-11-04,548.9000244140625,554.5,538.3499755859375,550.0,537443
2025-11-06,537.5499877929688,554.9000244140625,533.7999877929688,553.0,627899
2025-11-07,543.0499877929688,544.9000244140625,514.7999877929688,537.5499877929688,666031
2025-11-10,547.9500122070312,551.75,533.8499755859375,548.25,345524
2025-11-11,551.2999877929688,554.0,537.0499877929688,550.0,642644
2025-11-12,542.8499755859375,556.5,540.4000244140625,553.75,670017
2025-11-13,565.3499755859375,569.9500122070312,541.5999755859375,541.5999755859375,1069656
2025-11-14,556.9500122070312,570.5,555.0499877929688,565.3499755859375,263461
2025-11-17,552.1500244140625,564.4500122070312,541.9000244140625,558.7000122070312,435134
2025-11-18,528.7999877929688,554.5499877929688,524.5499877929688,553.5999755859375,342141
