Date,Symbol,Weekly %,20days,Momentum
"22nd May'26","NIFTYMETAL","0.440","3.80","1.69"
"22nd May'26","NIFTY200","0.266","-0.909","0.062"
"22nd May'26","NIFTY500","0.214","-0.699","0.181"
"22nd May'26","NIFTYTOTALMKT","0.209","-0.603","0.230"
"22nd May'26","NIFTYMIDSELECT","0.207","3.85","1.54"
"22nd May'26","NIFTYLARGEMID250","0.201","0.101","0.457"
"22nd May'26","NIFTYMIDCAP50","0.138","3.20","1.34"
"22nd May'26","NIFTYCOMMODITIES","0.138","0.957","0.778"
"22nd May'26","NIFTYMIDCAP150","0.111","1.83","1.09"
"22nd May'26","NIFTYMICROCAP250","0.088","1.76","1.40"
"22nd May'26","NIFTYMIDSMALLCAP400","0.033","1.59","1.08"
"22nd May'26","NIFTYCONSUMPTION","-0.017","-1.00","0.182"
"22nd May'26","NIFTYFMCG","-0.027","-1.74","0.499"
"22nd May'26","CNXREALTY","-0.090","-1.81","0.019"
"22nd May'26","NIFTYCHEMICALS","-0.093","3.76","1.47"
"22nd May'26","CNXENERGY","-0.100","0.602","1.13"
"22nd May'26","NIFTYSMALLCAP250","-0.125","1.10","1.06"
"22nd May'26","CNXSMALLCAP","-0.149","1.33","1.09"
"22nd May'26","NIFTYINDDEFENCE","-0.217","1.27","1.60"
"22nd May'26","CNXINFRA","-0.232","0.443","0.412"
"22nd May'26","NIFTYSMALLCAP50","-0.244","2.36","1.32"
"22nd May'26","CNXPHARMA","-1.27","6.91","2.22"
"22nd May'26","NIFTYHEALTHCARE","-1.52","5.95","2.07"
