Date,Symbol,Weekly %,20days,Momentum
"18th Jun'26","NIFTYHEALTHCARE","0.977","-1.88","0.390"
"18th Jun'26","CNXREALTY","0.688","6.93","0.959"
"18th Jun'26","NIFTYFINSERVICE","0.670","5.09","0.678"
"18th Jun'26","NIFTYSMALLCAP250","0.668","5.60","1.09"
"18th Jun'26","NIFTYPSUBANK","0.661","10.03","1.03"
"18th Jun'26","BANKNIFTY","0.658","8.22","1.26"
"18th Jun'26","NIFTYSMALLCAP50","0.620","4.85","1.04"
"18th Jun'26","NIFTYCHEMICALS","0.582","2.55","0.769"
"18th Jun'26","CNXPHARMA","0.562","-2.26","0.365"
"18th Jun'26","NIFTYMEDIA","0.551","8.14","1.58"
"18th Jun'26","CNXENERGY","0.544","0.753","0.078"
"18th Jun'26","NIFTYMIDSMALLCAP400","0.536","3.16","0.727"
"18th Jun'26","NIFTYCONSUMPTION","0.525","2.69","0.362"
"18th Jun'26","NIFTYPVTBANK","0.495","7.69","1.42"
"18th Jun'26","NIFTYMICROCAP250","0.483","8.32","1.70"
"18th Jun'26","NIFTYMIDCAP150","0.469","1.94","0.539"
"18th Jun'26","CNXSMALLCAP","0.443","4.67","0.927"
"18th Jun'26","NIFTYTOTALMKT","0.421","3.01","0.463"
"18th Jun'26","NIFTYLARGEMID250","0.419","2.27","0.406"
"18th Jun'26","NIFTY500","0.419","2.78","0.409"
"18th Jun'26","NIFTYINDDEFENCE","0.376","5.92","1.03"
"18th Jun'26","NIFTY200","0.374","2.44","0.325"
"18th Jun'26","NIFTY100","0.365","2.62","0.264"
"18th Jun'26","NIFTY","0.342","2.15","0.146"
"18th Jun'26","NIFTYMIDCAP50","0.324","1.24","0.580"
"18th Jun'26","CNXINFRA","0.314","1.54","0.248"
"18th Jun'26","NIFTYMIDSELECT","0.136","1.57","0.688"
"18th Jun'26","NIFTYAUTO","0.082","3.21","0.527"
