"Date","Symbol","Weekly %","20days","Momentum"
"13th Aug'26 3:29:00","NIFTYINDDEFENCE",1.55,5.65,0.943
"13th Aug'26 3:29:00","NIFTYCHEMICALS",1.25,1.67,0.69
"13th Aug'26 3:29:00","CNXREALTY",0.967,-0.855,0.585
"13th Aug'26 3:29:00","CNXIT",0.387,9.51,2.63
"13th Aug'26 3:29:00","NIFTYCONSUMPTION",0.379,4.1,1.12
"13th Aug'26 3:29:00","NIFTYMEDIA",0.373,3.52,1.04
"13th Aug'26 3:29:00","NIFTYMIDSELECT",0.303,1.93,0.797
"13th Aug'26 3:29:00","NIFTYSMALLCAP50",0.291,3.6,1.5
"13th Aug'26 3:29:00","CNXSMALLCAP",0.27,2.79,1.23
"13th Aug'26 3:29:00","NIFTYMIDCAP50",0.22,2.29,0.81
"13th Aug'26 3:29:00","NIFTYSMALLCAP250",0.165,1.42,0.927
"13th Aug'26 3:29:00","NIFTYMICROCAP250",0.154,3.2,1.23
"13th Aug'26 3:29:00","NIFTYMIDSMALLCAP400",0.106,1.85,0.811
"13th Aug'26 3:29:00","NIFTYAUTO",0.099,9.81,2.34
"13th Aug'26 3:29:00","NIFTYMIDCAP150",0.076,2.08,0.75
"13th Aug'26 3:29:00","NIFTYLARGEMID250",-0.031,1.95,0.688
"13th Aug'26 3:29:00","NIFTYTOTALMKT",-0.051,1.89,0.708
"13th Aug'26 3:29:00","NIFTY500",-0.061,1.83,0.684
"13th Aug'26 3:29:00","NIFTY200",-0.08,1.91,0.653
"13th Aug'26 3:29:00","NIFTY100",-0.139,1.82,0.624
"13th Aug'26 3:29:00","NIFTY",-0.164,1.34,0.523
"13th Aug'26 3:29:00","CNXINFRA",-0.177,0.663,0.17
"13th Aug'26 3:29:00","CNXPHARMA",-0.283,2.61,1.28
"13th Aug'26 3:29:00","NIFTYHEALTHCARE",-0.304,0.534,0.793
"13th Aug'26 3:29:00","NIFTYPSUBANK",-0.324,5.28,1.04
"13th Aug'26 3:29:00","NIFTYOILANDGAS",-0.366,0.576,0.256
"13th Aug'26 3:29:00","NIFTYFINSERVICE",-0.374,-0.861,0.101
"13th Aug'26 3:29:00","NIFTYCOMMODITIES",-0.424,0.616,0.108
"13th Aug'26 3:29:00","BANKNIFTY",-0.433,0.092,0.242
"13th Aug'26 3:29:00","NIFTYMETAL",-1.05,4.3,1.01
