Date,Symbol,Weekly %,20days,Momentum
"29th May'26","CNXREALTY","-0.255","-2.86","0.261"
"29th May'26","NIFTYMICROCAP250","-0.621","2.59","1.58"
"29th May'26","NIFTYSMALLCAP250","-0.651","1.12","1.10"
"29th May'26","CNXSMALLCAP","-0.850","0.252","1.10"
"29th May'26","NIFTYSMALLCAP50","-0.975","1.34","1.34"
"29th May'26","NIFTYMIDSMALLCAP400","-1.13","1.45","1.15"
"29th May'26","NIFTYPVTBANK","-1.17","-0.710","0.049"
"29th May'26","NIFTYTOTALMKT","-1.32","-0.796","0.396"
"29th May'26","NIFTY500","-1.35","-0.936","0.345"
"29th May'26","NIFTYMIDCAP150","-1.37","1.62","1.17"
"29th May'26","NIFTYLARGEMID250","-1.41","-0.145","0.598"
"29th May'26","NIFTY200","-1.43","-1.17","0.251"
"29th May'26","NIFTYMIDCAP50","-1.49","2.71","1.37"
"29th May'26","CNXPHARMA","-1.50","4.66","1.79"
"29th May'26","NIFTYFMCG","-1.51","-4.61","0.030"
"29th May'26","CNXINFRA","-1.54","-1.49","0.497"
"29th May'26","NIFTYCHEMICALS","-1.56","2.67","1.46"
"29th May'26","NIFTYMIDSELECT","-1.57","3.89","1.68"
"29th May'26","NIFTYINDDEFENCE","-1.58","1.06","1.54"
"29th May'26","CNXENERGY","-1.58","-0.204","1.33"
"29th May'26","NIFTYCONSUMPTION","-1.85","-2.25","0.180"
"29th May'26","NIFTYHEALTHCARE","-1.86","3.02","1.53"
"29th May'26","NIFTYAUTO","-1.96","0.969","0.350"
"29th May'26","NIFTYCOMMODITIES","-1.98","-0.559","0.922"
"29th May'26","NIFTYMETAL","-2.02","2.51","1.81"
