Date,Symbol,Weekly %,20days,Momentum
"6th May'26","NIFTYFINSERVICE","2.63","7.27","0.170"
"6th May'26","CNXREALTY","2.63","19.68","2.41"
"6th May'26","NIFTYMIDSELECT","2.60","13.75","1.89"
"6th May'26","NIFTYCHEMICALS","2.46","14.65","1.94"
"6th May'26","NIFTYAUTO","2.41","10.15","0.533"
"6th May'26","CNXPHARMA","2.30","10.42","1.39"
"6th May'26","NIFTYMIDCAP50","2.21","12.03","1.58"
"6th May'26","NIFTYSMALLCAP50","2.06","17.45","2.74"
"6th May'26","CNXSMALLCAP","1.93","16.91","2.72"
"6th May'26","NIFTYSMALLCAP250","1.81","15.80","2.54"
"6th May'26","NIFTYHEALTHCARE","1.78","10.04","1.35"
"6th May'26","NIFTYMIDSMALLCAP400","1.73","13.44","2.00"
"6th May'26","NIFTYMIDCAP150","1.70","12.27","1.72"
"6th May'26","NIFTYMICROCAP250","1.61","17.63","3.01"
"6th May'26","NIFTYLARGEMID250","1.50","9.82","1.18"
"6th May'26","NIFTYTOTALMKT","1.43","9.47","1.12"
"6th May'26","NIFTY500","1.43","9.15","1.04"
"6th May'26","NIFTY200","1.38","8.32","0.841"
"6th May'26","NIFTYMEDIA","1.36","12.96","2.07"
"6th May'26","NIFTYCONSUMPTION","1.32","8.95","1.13"
"6th May'26","NIFTY100","1.29","7.35","0.619"
"6th May'26","NIFTY","1.24","5.93","0.339"
"6th May'26","NIFTYMETAL","1.08","13.35","2.44"
"6th May'26","NIFTYCOMMODITIES","0.666","11.91","2.00"
"6th May'26","NIFTYINDDEFENCE","0.544","18.43","3.07"
"6th May'26","CNXINFRA","0.415","9.38","1.26"
"6th May'26","NIFTYOILANDGAS","0.175","9.60","1.06"
"6th May'26","NIFTYFMCG","-0.258","10.43","1.64"
"6th May'26","CNXENERGY","-0.447","15.31","3.06"
