"Date","Symbol","Weekly %","20days","Momentum"
"6th Aug'26","NIFTYINDDEFENCE",2.87,3.83,0.302
"6th Aug'26","NIFTYPSUBANK",2.2,6.41,0.371
"6th Aug'26","NIFTYCHEMICALS",1.3,4.93,0.7
"6th Aug'26","NIFTYSMALLCAP50",1.04,4.93,1.3
"6th Aug'26","NIFTYOILANDGAS",0.787,2.46,0.173
"6th Aug'26","BANKNIFTY",0.561,1.42,0.304
"6th Aug'26","CNXSMALLCAP",0.478,3.96,1.11
"6th Aug'26","NIFTYMICROCAP250",0.353,3.54,0.929
"6th Aug'26","NIFTYSMALLCAP250",0.2,2.7,0.792
"6th Aug'26","NIFTYFINSERVICE",0.073,1.44,0.395
"6th Aug'26","NIFTY100",0.052,3.07,0.71
"6th Aug'26","NIFTY",0.046,2.81,0.655
"6th Aug'26","CNXINFRA",0.006,1.37,0.178
"6th Aug'26","CNXPHARMA",0.005,3.54,1.39
"6th Aug'26","NIFTYTOTALMKT",-0.009,2.84,0.71
"6th Aug'26","NIFTY500",-0.026,2.81,0.7
"6th Aug'26","NIFTYFMCG",-0.028,0.04,0.13
"6th Aug'26","NIFTY200",-0.046,2.83,0.687
"6th Aug'26","NIFTYHEALTHCARE",-0.079,2.39,1.11
"6th Aug'26","NIFTYLARGEMID250",-0.173,2.53,0.663
"6th Aug'26","NIFTYMIDSMALLCAP400",-0.192,2.23,0.677
"6th Aug'26","NIFTYPVTBANK",-0.232,-0.299,0.023
"6th Aug'26","NIFTYMIDCAP150",-0.397,1.99,0.616
"6th Aug'26","NIFTYCONSUMPTION",-0.418,4.03,1.33
"6th Aug'26","NIFTYMIDSELECT",-0.455,1.08,0.553
"6th Aug'26","NIFTYCOMMODITIES",-0.476,1.87,0.052
"6th Aug'26","NIFTYMIDCAP50",-0.512,1.57,0.702
"6th Aug'26","CNXIT",-0.948,13.23,2.77
"6th Aug'26","NIFTYMETAL",-0.994,4.97,0.681
"6th Aug'26","NIFTYAUTO",-1.01,9.14,2.18
"6th Aug'26","NIFTYMEDIA",-1.28,4.87,1.51
"6th Aug'26","CNXREALTY",-1.32,-2.22,1.16
