"Date","Symbol","Weekly %","20days","Momentum"
"2nd Sep'26 3:29:00","CNXREALTY",0.208,-0.618,0.317
"2nd Sep'26 3:29:00","NIFTYPSUBANK",0.07,-0.346,0.134
"2nd Sep'26 3:29:00","CNXPHARMA",-0.045,0.818,0.816
"2nd Sep'26 3:29:00","NIFTYHEALTHCARE",-0.244,-0.484,0.434
"2nd Sep'26 3:29:00","NIFTYMETAL",-0.246,-0.747,0.907
"2nd Sep'26 3:29:00","NIFTYINDDEFENCE",-0.273,2.4,0.576
"2nd Sep'26 3:29:00","CNXSMALLCAP",-0.372,0.144,0.741
"2nd Sep'26 3:29:00","BANKNIFTY",-0.414,-0.984,0.023
"2nd Sep'26 3:29:00","NIFTYSMALLCAP50",-0.436,0.23,0.789
"2nd Sep'26 3:29:00","NIFTYTOTALMKT",-0.506,-2.04,0.035
"2nd Sep'26 3:29:00","NIFTYLARGEMID250",-0.527,-1.98,0.041
"2nd Sep'26 3:29:00","NIFTYPVTBANK",-0.559,-0.495,0.158
"2nd Sep'26 3:29:00","NIFTYSMALLCAP250",-0.582,-0.358,0.502
"2nd Sep'26 3:29:00","NIFTYMICROCAP250",-0.588,0.669,0.926
"2nd Sep'26 3:29:00","NIFTYMIDSMALLCAP400",-0.589,-0.934,0.335
"2nd Sep'26 3:29:00","NIFTYMIDCAP150",-0.593,-1.23,0.247
"2nd Sep'26 3:29:00","NIFTYMIDCAP50",-0.705,-0.539,0.393
"2nd Sep'26 3:29:00","NIFTYMIDSELECT",-1.01,-1.46,0.197
"2nd Sep'26 3:29:00","CNXIT",-1.25,-0.959,0.919
"2nd Sep'26 3:29:00","NIFTYMEDIA",-1.75,-2.61,0.343
"2nd Sep'26 3:29:00","NIFTYAUTO",-1.79,-4.86,0.348
