"Date","Symbol","Weekly %","20days","Momentum"
"29th Jun'26","CNXPHARMA",1.03,3.62,1.02
"29th Jun'26","NIFTYHEALTHCARE",0.94,4.68,1.05
"29th Jun'26","CNXENERGY",0.204,-2.84,0.087
"29th Jun'26","NIFTYINDDEFENCE",-0.053,3.11,1.51
"29th Jun'26","NIFTYMICROCAP250",-0.276,5.26,2.02
"29th Jun'26","NIFTYMIDCAP150",-0.314,0.48,0.747
"29th Jun'26","NIFTYMIDSMALLCAP400",-0.371,1.56,1
"29th Jun'26","NIFTYMIDCAP50",-0.38,0.174,0.683
"29th Jun'26","NIFTYLARGEMID250",-0.426,0.967,0.62
"29th Jun'26","NIFTY",-0.456,1.69,0.383
"29th Jun'26","NIFTYMIDSELECT",-0.465,-0.743,0.664
"29th Jun'26","NIFTYSMALLCAP250",-0.481,3.69,1.49
"29th Jun'26","NIFTYTOTALMKT",-0.482,1.67,0.704
"29th Jun'26","NIFTY500",-0.492,1.51,0.646
"29th Jun'26","NIFTY200",-0.512,1.14,0.518
"29th Jun'26","NIFTY100",-0.547,1.5,0.484
"29th Jun'26","CNXSMALLCAP",-0.624,2.95,1.3
"29th Jun'26","NIFTYFINSERVICE",-0.643,4.91,1.18
"29th Jun'26","NIFTYSMALLCAP50",-0.655,3.17,1.43
"29th Jun'26","BANKNIFTY",-0.773,6.43,1.55
"29th Jun'26","CNXINFRA",-0.797,0.342,0.532
"29th Jun'26","NIFTYCONSUMPTION",-0.875,2.05,0.658
"29th Jun'26","CNXREALTY",-0.896,4.64,1.6
"29th Jun'26","NIFTYPSUBANK",-0.952,4.88,1.1
"29th Jun'26","NIFTYPVTBANK",-0.962,6.55,1.68
"29th Jun'26","NIFTYCHEMICALS",-1.3,-0.132,0.68
"29th Jun'26","NIFTYMEDIA",-1.32,5.79,1.55
"29th Jun'26","NIFTYAUTO",-2.08,0.3,0.499
