Date,Symbol,Weekly %,20days,Momentum
"2nd Jun'26","CNXIT","4.23","7.02","0.053"
"2nd Jun'26","NIFTYMICROCAP250","1.09","1.45","1.43"
"2nd Jun'26","NIFTYINDDEFENCE","0.739","0.134","1.08"
"2nd Jun'26","NIFTYAUTO","0.724","0.199","0.145"
"2nd Jun'26","CNXREALTY","0.670","-4.84","0.080"
"2nd Jun'26","NIFTYSMALLCAP250","0.531","0.300","0.963"
"2nd Jun'26","NIFTYCHEMICALS","0.409","1.25","1.12"
"2nd Jun'26","CNXSMALLCAP","0.403","-0.442","0.893"
"2nd Jun'26","NIFTYTOTALMKT","0.400","-1.24","0.197"
"2nd Jun'26","NIFTYMETAL","0.378","4.51","1.75"
"2nd Jun'26","NIFTY500","0.371","-1.36","0.144"
"2nd Jun'26","NIFTY200","0.360","-1.52","0.046"
"2nd Jun'26","NIFTYMIDSMALLCAP400","0.300","0.551","0.893"
"2nd Jun'26","NIFTYLARGEMID250","0.288","-0.729","0.350"
"2nd Jun'26","NIFTYMIDCAP150","0.183","0.679","0.857"
"2nd Jun'26","NIFTYSMALLCAP50","0.142","0.333","1.11"
"2nd Jun'26","NIFTYMEDIA","0.119","-1.30","0.014"
"2nd Jun'26","NIFTYMIDCAP50","0.047","1.78","1.02"
"2nd Jun'26","CNXINFRA","-0.114","-2.58","0.198"
"2nd Jun'26","CNXENERGY","-0.159","-1.90","1.06"
"2nd Jun'26","NIFTYMIDSELECT","-0.171","2.23","1.30"
"2nd Jun'26","NIFTYCOMMODITIES","-0.190","-0.955","0.703"
"2nd Jun'26","NIFTYHEALTHCARE","-0.517","0.771","0.982"
"2nd Jun'26","CNXPHARMA","-0.859","2.26","1.33"
