Date,Symbol,Weekly %,20days,Momentum
"11th May'26","NIFTYHEALTHCARE","0.448","9.22","1.74"
"11th May'26","CNXPHARMA","0.249","9.19","1.84"
"11th May'26","NIFTYFMCG","0.078","7.48","1.44"
"11th May'26","NIFTYCHEMICALS","-0.753","10.04","2.30"
"11th May'26","NIFTYPVTBANK","-0.770","0.371","0.013"
"11th May'26","NIFTYMIDCAP50","-0.835","7.60","1.92"
"11th May'26","NIFTYMETAL","-0.954","5.70","2.19"
"11th May'26","NIFTYSMALLCAP50","-1.03","12.55","2.99"
"11th May'26","NIFTYSMALLCAP250","-1.06","11.29","2.76"
"11th May'26","NIFTYCOMMODITIES","-1.07","5.73","1.81"
"11th May'26","NIFTYMIDSMALLCAP400","-1.07","8.72","2.18"
"11th May'26","NIFTYMIDCAP150","-1.08","7.45","1.88"
"11th May'26","NIFTYMIDSELECT","-1.09","8.52","2.24"
"11th May'26","CNXSMALLCAP","-1.13","11.83","2.93"
"11th May'26","NIFTYINDDEFENCE","-1.17","13.51","3.32"
"11th May'26","NIFTYLARGEMID250","-1.30","4.35","1.23"
"11th May'26","NIFTYFINSERVICE","-1.37","-0.118","0.106"
"11th May'26","NIFTY500","-1.38","3.44","1.04"
"11th May'26","NIFTYTOTALMKT","-1.39","3.79","1.13"
"11th May'26","NIFTYMICROCAP250","-1.42","12.64","3.17"
"11th May'26","NIFTY200","-1.43","2.40","0.804"
"11th May'26","NIFTY","-1.49","0.171","0.245"
"11th May'26","NIFTY100","-1.52","1.22","0.525"
"11th May'26","NIFTYCONSUMPTION","-1.76","3.49","1.11"
"11th May'26","CNXENERGY","-1.84","8.91","2.66"
"11th May'26","NIFTYAUTO","-1.86","3.29","1.08"
"11th May'26","CNXINFRA","-1.92","3.52","1.12"
"11th May'26","NIFTYOILANDGAS","-2.24","2.23","0.777"
"11th May'26","NIFTYMEDIA","-2.49","7.26","1.85"
"11th May'26","CNXREALTY","-3.05","7.36","2.42"
