"Date","Symbol","Weekly %","20days","Momentum"
"26th Aug'26 3:29:00","NIFTYMETAL",1.27,6.74,1.16
"26th Aug'26 3:29:00","NIFTYCHEMICALS",1.19,0.179,0.096
"26th Aug'26 3:29:00","CNXSMALLCAP",0.807,3.64,0.97
"26th Aug'26 3:29:00","NIFTYPSUBANK",0.765,4.24,0.513
"26th Aug'26 3:29:00","NIFTYSMALLCAP50",0.622,3.85,1.11
"26th Aug'26 3:29:00","NIFTYMICROCAP250",0.596,5.56,1.18
"26th Aug'26 3:29:00","NIFTYSMALLCAP250",0.592,2.66,0.689
"26th Aug'26 3:29:00","BANKNIFTY",0.469,1.01,0.097
"26th Aug'26 3:29:00","CNXPHARMA",0.234,0.959,0.614
"26th Aug'26 3:29:00","NIFTYMIDSMALLCAP400",0.211,2.07,0.573
"26th Aug'26 3:29:00","NIFTYMEDIA",0.062,1.91,1.28
"26th Aug'26 3:29:00","NIFTYMIDCAP150",0.014,1.77,0.512
"26th Aug'26 3:29:00","NIFTYHEALTHCARE",-0.065,-0.657,0.193
"26th Aug'26 3:29:00","NIFTYMIDCAP50",-0.172,1.62,0.601
"26th Aug'26 3:29:00","NIFTYTOTALMKT",-0.185,1.09,0.317
"26th Aug'26 3:29:00","NIFTYINDDEFENCE",-0.188,5.68,1.07
"26th Aug'26 3:29:00","NIFTYLARGEMID250",-0.204,1.05,0.325
"26th Aug'26 3:29:00","NIFTY500",-0.222,0.885,0.276
"26th Aug'26 3:29:00","NIFTYMIDSELECT",-0.352,1.8,0.464
"26th Aug'26 3:29:00","NIFTY200",-0.359,0.661,0.221
"26th Aug'26 3:29:00","NIFTY100",-0.426,0.332,0.135
"26th Aug'26 3:29:00","NIFTY",-0.521,-0.175,0.032
"26th Aug'26 3:29:00","NIFTYAUTO",-0.742,4.22,1.29
"26th Aug'26 3:29:00","CNXREALTY",-0.834,-0.904,0.764
"26th Aug'26 3:29:00","NIFTYCONSUMPTION",-1.04,-0.443,0.371
"26th Aug'26 3:29:00","CNXIT",-1.47,-2.58,0.84
