Date,Symbol,Weekly %,20days,Momentum
"20th May'26","CNXENERGY","1.48","2.08","1.20"
"20th May'26","CNXINFRA","0.849","0.036","0.414"
"20th May'26","NIFTYINDDEFENCE","0.787","1.87","1.73"
"20th May'26","NIFTYCOMMODITIES","0.664","0.773","0.871"
"20th May'26","NIFTYMICROCAP250","0.598","1.64","1.52"
"20th May'26","CNXREALTY","0.570","-3.97","0.026"
"20th May'26","NIFTYMIDSELECT","0.495","3.23","1.59"
"20th May'26","NIFTYMIDCAP50","0.494","2.57","1.39"
"20th May'26","NIFTYMIDCAP150","0.369","1.43","1.13"
"20th May'26","NIFTYLARGEMID250","0.307","-0.972","0.474"
"20th May'26","NIFTY200","0.290","-2.38","0.063"
"20th May'26","NIFTYMIDSMALLCAP400","0.273","1.28","1.15"
"20th May'26","NIFTYTOTALMKT","0.264","-1.87","0.254"
"20th May'26","NIFTY500","0.250","-2.01","0.201"
"20th May'26","NIFTYMETAL","0.173","2.74","1.85"
"20th May'26","NIFTYHEALTHCARE","0.133","9.26","2.12"
"20th May'26","NIFTYSMALLCAP250","0.081","0.998","1.21"
"20th May'26","CNXSMALLCAP","0.041","1.30","1.27"
"20th May'26","NIFTYCONSUMPTION","-0.057","-2.39","0.290"
"20th May'26","CNXPHARMA","-0.098","10.72","2.27"
"20th May'26","NIFTYSMALLCAP50","-0.147","2.63","1.53"
"20th May'26","NIFTYCHEMICALS","-0.541","4.65","1.60"
"20th May'26","NIFTYFMCG","-0.713","-0.589","0.759"
"20th May'26","NIFTYMEDIA","-1.45","-2.99","0.337"
