Date,Symbol,Weekly %,20days,Momentum
"3rd Jun'26","NIFTYHEALTHCARE","0.543","1.16","0.790"
"3rd Jun'26","NIFTYINDDEFENCE","0.378","-0.756","0.954"
"3rd Jun'26","CNXPHARMA","0.335","2.20","1.13"
"3rd Jun'26","NIFTYMICROCAP250","0.236","1.76","1.40"
"3rd Jun'26","NIFTYCHEMICALS","0.086","1.11","1.00"
"3rd Jun'26","NIFTYAUTO","0.051","-0.379","0.100"
"3rd Jun'26","NIFTYSMALLCAP250","0.046","0.155","0.919"
"3rd Jun'26","CNXENERGY","0.018","-1.94","0.939"
"3rd Jun'26","CNXINFRA","-0.081","-2.37","0.079"
"3rd Jun'26","CNXSMALLCAP","-0.112","-0.827","0.811"
"3rd Jun'26","NIFTYSMALLCAP50","-0.161","-0.235","1.01"
"3rd Jun'26","NIFTYMETAL","-0.166","4.20","1.71"
"3rd Jun'26","NIFTYCOMMODITIES","-0.184","-1.22","0.593"
"3rd Jun'26","NIFTYMIDSMALLCAP400","-0.238","0.173","0.780"
"3rd Jun'26","NIFTYTOTALMKT","-0.285","-1.43","0.116"
"3rd Jun'26","NIFTY500","-0.307","-1.56","0.060"
"3rd Jun'26","NIFTYLARGEMID250","-0.361","-1.05","0.239"
"3rd Jun'26","NIFTYMIDCAP150","-0.383","0.181","0.709"
"3rd Jun'26","NIFTYMIDCAP50","-0.560","1.13","0.842"
"3rd Jun'26","NIFTYMEDIA","-0.591","-1.97","0.066"
"3rd Jun'26","NIFTYMIDSELECT","-0.642","1.43","1.09"
"3rd Jun'26","CNXIT","-5.57","0.952","0.055"
