"Date","Symbol","Weekly %","20days","Momentum"
"5th Aug'26","NIFTYMETAL",1.72,6.32,0.505
"5th Aug'26","NIFTYMICROCAP250",1.29,5.16,0.77
"5th Aug'26","NIFTYAUTO",1.27,10.02,2.1
"5th Aug'26","NIFTYSMALLCAP50",0.937,5.76,1.15
"5th Aug'26","CNXREALTY",0.842,2.6,1.38
"5th Aug'26","CNXSMALLCAP",0.756,5.33,0.99
"5th Aug'26","NIFTYPSUBANK",0.724,5.81,0.096
"5th Aug'26","NIFTYSMALLCAP250",0.702,4.11,0.697
"5th Aug'26","NIFTYMIDSMALLCAP400",0.397,3.94,0.635
"5th Aug'26","CNXINFRA",0.352,2.19,0.133
"5th Aug'26","NIFTYTOTALMKT",0.24,3.68,0.656
"5th Aug'26","NIFTYMIDCAP150",0.239,3.84,0.603
"5th Aug'26","NIFTY500",0.192,3.61,0.651
"5th Aug'26","NIFTYLARGEMID250",0.168,3.65,0.63
"5th Aug'26","NIFTY200",0.113,3.51,0.643
"5th Aug'26","NIFTYCONSUMPTION",0.11,5.11,1.33
"5th Aug'26","NIFTY100",0.097,3.46,0.658
"5th Aug'26","NIFTYMIDSELECT",0.059,3.2,0.554
"5th Aug'26","NIFTY",0.04,3.11,0.608
"5th Aug'26","NIFTYMIDCAP50",0.014,3.49,0.73
"5th Aug'26","NIFTYFINSERVICE",-0.003,1.98,0.328
"5th Aug'26","NIFTYCHEMICALS",-0.091,4.29,0.618
"5th Aug'26","NIFTYOILANDGAS",-0.091,1.98,0.106
"5th Aug'26","CNXPHARMA",-0.128,4.46,1.41
"5th Aug'26","CNXIT",-0.159,13.97,2.78
"5th Aug'26","NIFTYHEALTHCARE",-0.22,3.49,1.15
"5th Aug'26","NIFTYINDDEFENCE",-0.253,0.774,0.054
"5th Aug'26","BANKNIFTY",-0.289,1.76,0.249
"5th Aug'26","NIFTYFMCG",-0.29,0.829,0.14
"5th Aug'26","NIFTYPVTBANK",-0.417,0.553,0.03
"5th Aug'26","NIFTYMEDIA",-1.58,8.45,1.66
