"Date","Symbol","Weekly %","20days","Momentum"
"17th Aug'26 3:23:00","CNXREALTY",1.46,-0.959,0.604
"17th Aug'26 3:23:00","NIFTYMETAL",1.26,4.47,0.896
"17th Aug'26 3:23:00","CNXSMALLCAP",0.358,2.5,1.13
"17th Aug'26 3:23:00","NIFTYMEDIA",0.355,3.75,1.14
"17th Aug'26 3:23:00","NIFTYINDDEFENCE",0.303,5.1,1.18
"17th Aug'26 3:23:00","NIFTYSMALLCAP50",0.283,3.03,1.38
"17th Aug'26 3:23:00","NIFTYSMALLCAP250",0.183,1.6,0.848
"17th Aug'26 3:23:00","NIFTYMIDSMALLCAP400",0.161,1.6,0.751
"17th Aug'26 3:23:00","NIFTYMIDCAP150",0.149,1.6,0.7
"17th Aug'26 3:23:00","NIFTYMICROCAP250",0.122,3.89,1.25
"17th Aug'26 3:23:00","NIFTYMIDCAP50",0.101,1.32,0.739
"17th Aug'26 3:23:00","NIFTYOILANDGAS",0.075,-1.41,0.163
"17th Aug'26 3:23:00","BANKNIFTY",0.012,-0.772,0.171
"17th Aug'26 3:23:00","CNXINFRA",-0.028,-0.281,0.153
"17th Aug'26 3:23:00","NIFTYLARGEMID250",-0.057,1.14,0.598
"17th Aug'26 3:23:00","NIFTYAUTO",-0.102,7.95,2.1
"17th Aug'26 3:23:00","NIFTYCHEMICALS",-0.108,0.653,0.69
"17th Aug'26 3:23:00","NIFTYTOTALMKT",-0.118,1.1,0.606
"17th Aug'26 3:23:00","NIFTY500",-0.129,0.97,0.576
"17th Aug'26 3:23:00","NIFTYMIDSELECT",-0.155,1.14,0.75
"17th Aug'26 3:23:00","NIFTY200",-0.2,0.865,0.539
"17th Aug'26 3:23:00","NIFTY100",-0.265,0.676,0.493
"17th Aug'26 3:23:00","NIFTY",-0.322,0.203,0.382
"17th Aug'26 3:23:00","NIFTYPSUBANK",-0.373,1.06,1.06
"17th Aug'26 3:23:00","CNXPHARMA",-0.393,1.3,1.05
"17th Aug'26 3:23:00","NIFTYHEALTHCARE",-0.46,-0.366,0.539
"17th Aug'26 3:23:00","NIFTYCONSUMPTION",-0.645,2.58,0.955
"17th Aug'26 3:23:00","CNXIT",-1.75,5.64,2.27
