Date,Symbol,Weekly %,20days,Momentum
"13th May'26","NIFTYINDDEFENCE","2.99","10.07","2.85"
"13th May'26","NIFTYMETAL","2.65","7.24","1.99"
"13th May'26","NIFTYMICROCAP250","1.13","8.17","2.66"
"13th May'26","NIFTYCOMMODITIES","1.06","5.02","1.43"
"13th May'26","NIFTYMIDSELECT","1.03","6.38","1.90"
"13th May'26","NIFTYCHEMICALS","1.02","7.38","2.02"
"13th May'26","NIFTYMIDCAP150","0.972","4.69","1.50"
"13th May'26","NIFTYMIDCAP50","0.894","5.40","1.64"
"13th May'26","NIFTYMIDSMALLCAP400","0.880","5.60","1.77"
"13th May'26","NIFTYFMCG","0.761","6.87","1.17"
"13th May'26","NIFTYOILANDGAS","0.751","3.10","0.397"
"13th May'26","NIFTYLARGEMID250","0.740","2.01","0.811"
"13th May'26","NIFTYSMALLCAP250","0.700","7.43","2.31"
"13th May'26","CNXINFRA","0.688","1.91","0.658"
"13th May'26","CNXENERGY","0.674","7.03","2.07"
"13th May'26","CNXSMALLCAP","0.671","7.74","2.44"
"13th May'26","NIFTYSMALLCAP50","0.633","8.65","2.55"
"13th May'26","NIFTYTOTALMKT","0.633","1.43","0.685"
"13th May'26","NIFTY500","0.613","1.16","0.602"
"13th May'26","NIFTY200","0.612","0.352","0.368"
"13th May'26","NIFTY100","0.492","-0.719","0.075"
"13th May'26","NIFTYCONSUMPTION","0.446","1.50","0.657"
"13th May'26","CNXREALTY","0.379","1.51","1.50"
"13th May'26","NIFTYHEALTHCARE","0.336","8.29","1.70"
"13th May'26","CNXPHARMA","0.129","8.02","1.77"
"13th May'26","NIFTYMEDIA","-0.451","2.18","1.06"
"13th May'26","NIFTYAUTO","-0.505","-0.284","0.710"
"13th May'26","NIFTYHOUSING","NaN","NaN","0.781"
