Date,Symbol,Weekly %,20days,Momentum
"14th May'26","CNXPHARMA","2.74","9.43","1.89"
"14th May'26","NIFTYHEALTHCARE","2.56","8.93","1.81"
"14th May'26","NIFTYMETAL","2.04","8.08","2.17"
"14th May'26","NIFTYCONSUMPTION","1.44","1.04","0.578"
"14th May'26","CNXINFRA","1.41","1.54","0.642"
"14th May'26","NIFTYMIDSELECT","1.36","5.26","1.83"
"14th May'26","NIFTYCHEMICALS","1.25","5.79","1.91"
"14th May'26","NIFTYMIDCAP150","1.18","3.29","1.40"
"14th May'26","NIFTYLARGEMID250","1.18","0.931","0.719"
"14th May'26","NIFTYMIDCAP50","1.17","3.94","1.57"
"14th May'26","NIFTY200","1.16","-0.530","0.284"
"14th May'26","NIFTY500","1.05","0.078","0.498"
"14th May'26","NIFTYCOMMODITIES","1.04","4.33","1.40"
"14th May'26","NIFTYTOTALMKT","1.02","0.277","0.575"
"14th May'26","NIFTYMEDIA","0.899","1.34","0.849"
"14th May'26","NIFTYINDDEFENCE","0.826","7.29","2.67"
"14th May'26","NIFTYMIDSMALLCAP400","0.792","3.72","1.62"
"14th May'26","CNXREALTY","0.765","-0.831","1.12"
"14th May'26","CNXENERGY","0.654","5.49","1.89"
"14th May'26","NIFTYAUTO","0.621","-1.64","0.525"
"14th May'26","NIFTYFMCG","0.344","5.15","1.05"
"14th May'26","NIFTYSMALLCAP50","0.294","6.10","2.34"
"14th May'26","NIFTYMICROCAP250","0.249","5.29","2.41"
"14th May'26","NIFTYOILANDGAS","0.041","1.49","0.361"
"14th May'26","NIFTYSMALLCAP250","0.030","4.60","2.07"
"14th May'26","CNXSMALLCAP","-0.014","4.87","2.18"
