"Date","Symbol","Weekly %","20days","Momentum"
"31st Aug'26 3:29:00","NIFTYPVTBANK",0.968,-0.141,0.154
"31st Aug'26 3:29:00","BANKNIFTY",0.919,-0.383,0.126
"31st Aug'26 3:29:00","NIFTYHEALTHCARE",0.851,0.942,0.495
"31st Aug'26 3:29:00","CNXPHARMA",0.721,1.96,0.876
"31st Aug'26 3:29:00","NIFTYMIDCAP50",0.465,1.04,0.606
"31st Aug'26 3:29:00","NIFTYMIDSELECT",0.414,0.876,0.459
"31st Aug'26 3:29:00","NIFTYMICROCAP250",0.301,4.02,1.13
"31st Aug'26 3:29:00","NIFTYMIDCAP150",0.126,0.503,0.484
"31st Aug'26 3:29:00","NIFTYPSUBANK",0.061,1.45,0.36
"31st Aug'26 3:29:00","NIFTYAUTO",-0.036,-1.12,0.859
"31st Aug'26 3:29:00","NIFTYLARGEMID250",-0.144,-0.997,0.241
"31st Aug'26 3:29:00","NIFTYMIDSMALLCAP400",-0.147,0.719,0.539
"31st Aug'26 3:29:00","NIFTY200",-0.286,-1.83,0.105
"31st Aug'26 3:29:00","CNXIT",-0.288,-1.65,0.817
"31st Aug'26 3:29:00","NIFTYTOTALMKT",-0.304,-1.24,0.212
"31st Aug'26 3:29:00","NIFTY500",-0.332,-1.48,0.168
"31st Aug'26 3:29:00","NIFTYINDDEFENCE",-0.341,2.97,0.861
"31st Aug'26 3:29:00","CNXREALTY",-0.517,-0.975,0.626
"31st Aug'26 3:29:00","NIFTYSMALLCAP250",-0.671,1.13,0.645
"31st Aug'26 3:29:00","CNXSMALLCAP",-0.739,1.75,0.919
"31st Aug'26 3:29:00","NIFTYSMALLCAP50",-0.772,1.85,1.01
"31st Aug'26 3:29:00","NIFTYCONSUMPTION",-0.853,-3.72,0.009
"31st Aug'26 3:29:00","NIFTYMETAL",-2.45,2.16,1.17
"31st Aug'26 3:29:00","NIFTYMEDIA",-2.84,-0.72,0.876
