"Date","Symbol","Weekly %","20days","Momentum"
"20th Aug'26 3:29:00","NIFTYMEDIA",2.13,8.13,1.28
"20th Aug'26 3:29:00","CNXREALTY",1.41,2.4,0.54
"20th Aug'26 3:29:00","CNXIT",0.789,7.5,1.44
"20th Aug'26 3:29:00","CNXSMALLCAP",0.681,4.78,0.97
"20th Aug'26 3:29:00","NIFTYCONSUMPTION",0.673,2.37,0.634
"20th Aug'26 3:29:00","NIFTY",0.638,1.52,0.115
"20th Aug'26 3:29:00","NIFTY100",0.593,1.84,0.233
"20th Aug'26 3:29:00","NIFTYSMALLCAP250",0.585,3.89,0.729
"20th Aug'26 3:29:00","NIFTYSMALLCAP50",0.571,5.51,1.16
"20th Aug'26 3:29:00","NIFTY200",0.557,2.12,0.299
"20th Aug'26 3:29:00","NIFTY500",0.542,2.31,0.352
"20th Aug'26 3:29:00","NIFTYTOTALMKT",0.541,2.46,0.391
"20th Aug'26 3:29:00","NIFTYMICROCAP250",0.523,5.83,1.22
"20th Aug'26 3:29:00","NIFTYLARGEMID250",0.474,2.43,0.389
"20th Aug'26 3:29:00","BANKNIFTY",0.448,1.6,0.054
"20th Aug'26 3:29:00","NIFTYMIDCAP50",0.439,3.45,0.607
"20th Aug'26 3:29:00","NIFTYMIDSMALLCAP400",0.435,3.31,0.607
"20th Aug'26 3:29:00","NIFTYAUTO",0.399,6.47,1.78
"20th Aug'26 3:29:00","CNXPHARMA",0.388,2.97,0.756
"20th Aug'26 3:29:00","NIFTYMIDCAP150",0.357,3.01,0.542
"20th Aug'26 3:29:00","NIFTYHEALTHCARE",0.319,1.04,0.269
"20th Aug'26 3:29:00","NIFTYMETAL",0.284,4.74,0.755
"20th Aug'26 3:29:00","NIFTYMIDSELECT",0.062,3.11,0.538
"20th Aug'26 3:29:00","NIFTYOILANDGAS",0.011,0.446,0.051
"20th Aug'26 3:29:00","NIFTYPSUBANK",-0.012,3.84,0.777
"20th Aug'26 3:29:00","NIFTYINDDEFENCE",-0.186,4.42,1.33
"20th Aug'26 3:29:00","NIFTYCHEMICALS",-0.495,0.596,0.466
