"Date","Symbol","Weekly %","20days","Momentum"
"18th Aug'26 3:20:00","NIFTYINDDEFENCE",1.29,5.65,1.34
"18th Aug'26 3:20:00","NIFTYMEDIA",0.404,4.21,1.2
"18th Aug'26 3:20:00","NIFTYMICROCAP250",0.381,3.93,1.27
"18th Aug'26 3:20:00","NIFTYAUTO",0.296,7.27,2
"18th Aug'26 3:20:00","NIFTYHEALTHCARE",0.209,-0.506,0.439
"18th Aug'26 3:20:00","NIFTYOILANDGAS",0.202,-0.714,0.146
"18th Aug'26 3:20:00","NIFTYSMALLCAP250",0.189,1.36,0.826
"18th Aug'26 3:20:00","NIFTYCHEMICALS",0.08,-0.745,0.679
"18th Aug'26 3:20:00","CNXPHARMA",0.077,1.03,0.937
"18th Aug'26 3:20:00","CNXSMALLCAP",-0.002,1.96,1.08
"18th Aug'26 3:20:00","NIFTYSMALLCAP50",-0.085,2.43,1.31
"18th Aug'26 3:20:00","NIFTYMIDSMALLCAP400",-0.188,1.02,0.709
"18th Aug'26 3:20:00","NIFTYMIDCAP50",-0.34,0.694,0.679
"18th Aug'26 3:20:00","NIFTYTOTALMKT",-0.356,0.664,0.529
"18th Aug'26 3:20:00","NIFTYMIDCAP150",-0.384,0.839,0.648
"18th Aug'26 3:20:00","NIFTY500",-0.391,0.515,0.494
"18th Aug'26 3:20:00","BANKNIFTY",-0.409,-0.991,0.111
"18th Aug'26 3:20:00","CNXINFRA",-0.424,-0.783,0.111
"18th Aug'26 3:20:00","NIFTYLARGEMID250",-0.434,0.561,0.521
"18th Aug'26 3:20:00","NIFTY200",-0.475,0.399,0.448
"18th Aug'26 3:20:00","NIFTY100",-0.486,0.278,0.392
"18th Aug'26 3:20:00","NIFTYCONSUMPTION",-0.496,1.74,0.822
"18th Aug'26 3:20:00","NIFTY",-0.547,-0.136,0.273
"18th Aug'26 3:20:00","NIFTYMETAL",-0.605,3.18,0.844
"18th Aug'26 3:20:00","NIFTYMIDSELECT",-0.722,0.178,0.661
"18th Aug'26 3:20:00","NIFTYPSUBANK",-1.01,0.932,0.96
"18th Aug'26 3:20:00","CNXREALTY",-1.42,-3.4,0.549
"18th Aug'26 3:20:00","CNXIT",-1.93,4.24,1.91
