Date,Symbol,Weekly %,20days,Momentum
"16th Jun'26","CNXREALTY","2.26","8.80","0.281"
"16th Jun'26","NIFTYMEDIA","1.40","7.29","1.36"
"16th Jun'26","NIFTYFINSERVICE","0.637","4.31","0.232"
"16th Jun'26","NIFTYMIDCAP50","0.601","2.00","0.316"
"16th Jun'26","NIFTYMICROCAP250","0.559","7.75","1.34"
"16th Jun'26","NIFTYMIDSELECT","0.538","2.39","0.420"
"16th Jun'26","NIFTYTOTALMKT","0.467","2.60","0.116"
"16th Jun'26","NIFTY500","0.463","2.39","0.063"
"16th Jun'26","NIFTYSMALLCAP50","0.453","4.54","0.722"
"16th Jun'26","NIFTYSMALLCAP250","0.443","5.44","0.780"
"16th Jun'26","NIFTYLARGEMID250","0.434","2.06","0.076"
"16th Jun'26","CNXSMALLCAP","0.423","4.65","0.606"
"16th Jun'26","NIFTYMIDSMALLCAP400","0.403","3.21","0.424"
"16th Jun'26","NIFTYMIDCAP150","0.382","2.11","0.242"
"16th Jun'26","NIFTYPVTBANK","0.379","6.72","1.08"
"16th Jun'26","NIFTYCHEMICALS","0.360","2.51","0.609"
"16th Jun'26","BANKNIFTY","0.172","7.02","0.857"
"16th Jun'26","NIFTYINDDEFENCE","0.010","1.97","0.413"
"16th Jun'26","NIFTYPSUBANK","-0.211","8.77","0.517"
"16th Jun'26","CNXPHARMA","-0.257","-2.44","0.451"
"16th Jun'26","NIFTYAUTO","-0.319","4.95","0.345"
"16th Jun'26","NIFTYHEALTHCARE","-0.359","-2.24","0.434"
