"Date","Symbol","Weekly %","20days","Momentum"
"15th Jul'26","NIFTYCHEMICALS",0.909,0.869,0.439
"15th Jul'26","NIFTYSMALLCAP250",0.684,4.19,1.34
"15th Jul'26","CNXSMALLCAP",0.666,4.75,1.45
"15th Jul'26","NIFTYMICROCAP250",0.636,3.79,1.45
"15th Jul'26","NIFTYFINSERVICE",0.59,0.949,0.807
"15th Jul'26","NIFTYSMALLCAP50",0.571,5.2,1.6
"15th Jul'26","NIFTYMIDSMALLCAP400",0.519,2.83,0.932
"15th Jul'26","BANKNIFTY",0.514,0.804,0.824
"15th Jul'26","NIFTYMIDCAP150",0.433,2.13,0.72
"15th Jul'26","NIFTYHEALTHCARE",0.404,6.96,1.42
"15th Jul'26","NIFTYMIDSELECT",0.4,1.84,0.826
"15th Jul'26","CNXPHARMA",0.372,7.64,1.53
"15th Jul'26","NIFTYAUTO",0.368,-0.916,0.416
"15th Jul'26","NIFTYPVTBANK",0.31,0.307,0.862
"15th Jul'26","NIFTYLARGEMID250",0.299,1.26,0.567
"15th Jul'26","NIFTYTOTALMKT",0.293,1.27,0.614
"15th Jul'26","NIFTY500",0.278,1.16,0.576
"15th Jul'26","NIFTYMIDCAP50",0.27,2.44,0.916
"15th Jul'26","NIFTYCONSUMPTION",0.203,1.3,0.694
"15th Jul'26","NIFTY200",0.189,0.689,0.466
"15th Jul'26","NIFTY100",0.165,0.4,0.411
"15th Jul'26","NIFTY",0.11,0.372,0.393
"15th Jul'26","NIFTYINDDEFENCE",0.059,2.19,0.536
"15th Jul'26","CNXINFRA",-0.139,-0.943,0.072
"15th Jul'26","CNXREALTY",-0.381,11.86,3.89
"15th Jul'26","NIFTYMEDIA",-0.457,-0.173,0.615
