Date,Symbol,Weekly %,20days,Momentum
"27th May'26","CNXENERGY","1.77","1.33","1.33"
"27th May'26","NIFTYMETAL","1.67","5.15","1.83"
"27th May'26","NIFTYAUTO","1.45","4.16","0.352"
"27th May'26","NIFTYCOMMODITIES","1.04","1.53","0.979"
"27th May'26","CNXINFRA","0.857","0.854","0.561"
"27th May'26","NIFTYCONSUMPTION","0.653","0.611","0.282"
"27th May'26","NIFTYSMALLCAP250","0.552","2.28","1.12"
"27th May'26","NIFTYMIDSMALLCAP400","0.446","2.75","1.19"
"27th May'26","NIFTYMIDCAP150","0.392","2.99","1.23"
"27th May'26","CNXREALTY","0.326","-1.17","0.236"
"27th May'26","NIFTYLARGEMID250","0.321","1.56","0.657"
"27th May'26","NIFTY500","0.307","0.886","0.400"
"27th May'26","NIFTYTOTALMKT","0.292","0.980","0.449"
"27th May'26","NIFTYSMALLCAP50","0.285","2.86","1.39"
"27th May'26","NIFTY200","0.278","0.740","0.308"
"27th May'26","NIFTY100","0.244","0.064","0.041"
"27th May'26","CNXPHARMA","0.230","6.73","1.97"
"27th May'26","NIFTYMIDSELECT","0.207","5.22","1.74"
"27th May'26","CNXSMALLCAP","0.148","1.77","1.15"
"27th May'26","NIFTYHEALTHCARE","0.130","5.23","1.75"
"27th May'26","NIFTYINDDEFENCE","0.102","3.82","1.65"
"27th May'26","NIFTYMIDCAP50","0.078","4.20","1.46"
"27th May'26","NIFTYMICROCAP250","-0.041","3.25","1.60"
"27th May'26","NIFTYCHEMICALS","-0.138","4.88","1.57"
"27th May'26","NIFTYFMCG","-0.170","-1.46","0.218"
"27th May'26","NIFTYOILANDGAS","-0.273","-1.73","0.076"
"27th May'26","NIFTYPVTBANK","-0.456","0.907","0.081"
