Date,Symbol,Weekly %,20days,Momentum
"7th May'26","NIFTYINDDEFENCE","3.04","20.78","3.20"
"7th May'26","NIFTYAUTO","1.93","12.17","0.836"
"7th May'26","NIFTYMIDSELECT","1.67","15.30","2.10"
"7th May'26","NIFTYMICROCAP250","1.56","19.07","3.13"
"7th May'26","NIFTYMIDCAP50","1.41","13.12","1.75"
"7th May'26","NIFTYMIDCAP150","1.10","13.40","1.84"
"7th May'26","NIFTYMIDSMALLCAP400","1.07","14.53","2.12"
"7th May'26","NIFTYSMALLCAP250","1.02","16.83","2.67"
"7th May'26","NIFTYSMALLCAP50","0.923","18.73","2.89"
"7th May'26","CNXSMALLCAP","0.872","18.00","2.85"
"7th May'26","CNXENERGY","0.822","15.64","3.00"
"7th May'26","CNXREALTY","0.632","18.45","2.53"
"7th May'26","NIFTYLARGEMID250","0.577","10.04","1.27"
"7th May'26","NIFTYTOTALMKT","0.397","9.38","1.20"
"7th May'26","NIFTYCHEMICALS","0.391","14.69","2.13"
"7th May'26","NIFTY500","0.348","9.00","1.12"
"7th May'26","NIFTYCOMMODITIES","0.326","11.43","2.01"
"7th May'26","CNXINFRA","0.324","9.25","1.28"
"7th May'26","NIFTYPVTBANK","0.304","5.77","0.074"
"7th May'26","NIFTYMETAL","0.273","11.93","2.43"
"7th May'26","NIFTY200","0.237","7.98","0.907"
"7th May'26","NIFTYFINSERVICE","0.215","7.15","0.289"
"7th May'26","NIFTYMEDIA","0.214","12.30","2.06"
"7th May'26","NIFTYHEALTHCARE","0.170","9.99","1.51"
"7th May'26","BANKNIFTY","0.118","6.32","0.047"
"7th May'26","CNXPHARMA","0.104","10.37","1.60"
"7th May'26","NIFTYCONSUMPTION","0.077","8.54","1.18"
"7th May'26","NIFTY100","0.027","6.70","0.670"
"7th May'26","NIFTY","-0.018","5.20","0.389"
"7th May'26","NIFTYOILANDGAS","-0.102","8.94","1.08"
"7th May'26","NIFTYFMCG","-0.762","8.70","1.57"
