"Date","Symbol","Weekly %","20days","Momentum"
"8th Sep'26 3:29:00","NIFTYINDDEFENCE",2.5,4.22,0.639
"8th Sep'26 3:29:00","CNXPHARMA",0.77,0.487,0.59
"8th Sep'26 3:29:00","NIFTYHEALTHCARE",0.631,-0.482,0.176
"8th Sep'26 3:29:00","NIFTYMICROCAP250",0.522,2.76,0.901
"8th Sep'26 3:29:00","NIFTYSMALLCAP50",0.314,1.16,0.796
"8th Sep'26 3:29:00","NIFTYSMALLCAP250",0.233,0.791,0.531
"8th Sep'26 3:29:00","NIFTYMIDCAP50",0.229,-1.2,0.042
"8th Sep'26 3:29:00","CNXSMALLCAP",0.167,1.39,0.765
"8th Sep'26 3:29:00","NIFTYMIDSMALLCAP400",0.159,-0.768,0.139
"8th Sep'26 3:29:00","NIFTYMETAL",0.023,0.421,0.586
"8th Sep'26 3:29:00","CNXREALTY",-0.05,0.332,0.15
"8th Sep'26 3:29:00","CNXIT",-0.372,-6.1,0.18
"8th Sep'26 3:29:00","NIFTYPVTBANK",-0.977,0.345,0.135
