"Date","Symbol","Weekly %","20days","Momentum"
"3rd Aug'26","CNXIT",3.28,16.27,2.49
"3rd Aug'26","NIFTYFMCG",1.72,-0.46,0.125
"3rd Aug'26","BANKNIFTY",1.72,-0.075,0.171
"3rd Aug'26","NIFTY",1.6,1.41,0.451
"3rd Aug'26","NIFTY100",1.55,1.63,0.494
"3rd Aug'26","NIFTYCHEMICALS",1.54,1.11,0.614
"3rd Aug'26","NIFTY200",1.48,1.69,0.486
"3rd Aug'26","NIFTYAUTO",1.48,6.64,1.71
"3rd Aug'26","NIFTYFINSERVICE",1.47,-0.035,0.132
"3rd Aug'26","NIFTYCONSUMPTION",1.46,3.25,1.18
"3rd Aug'26","NIFTY500",1.46,1.57,0.492
"3rd Aug'26","NIFTYTOTALMKT",1.45,1.53,0.491
"3rd Aug'26","NIFTYLARGEMID250",1.38,1.79,0.485
"3rd Aug'26","NIFTYSMALLCAP250",1.38,0.487,0.503
"3rd Aug'26","NIFTYMICROCAP250",1.34,0.574,0.483
"3rd Aug'26","CNXSMALLCAP",1.29,1.4,0.781
"3rd Aug'26","CNXREALTY",1.29,0.673,1.77
"3rd Aug'26","NIFTYMIDSMALLCAP400",1.27,1.44,0.485
"3rd Aug'26","NIFTYMIDCAP150",1.21,1.94,0.475
"3rd Aug'26","NIFTYSMALLCAP50",1.17,1.87,0.972
"3rd Aug'26","NIFTYMIDCAP50",1.08,2.45,0.667
"3rd Aug'26","CNXINFRA",1.05,-0.13,0.034
"3rd Aug'26","NIFTYOILANDGAS",0.975,0.855,0.075
"3rd Aug'26","NIFTYMIDSELECT",0.769,1.96,0.437
"3rd Aug'26","CNXPHARMA",0.482,3.08,1.36
"3rd Aug'26","NIFTYHEALTHCARE",0.166,1.83,1.17
"3rd Aug'26","NIFTYMEDIA",-3.09,4.72,1.64
