"Date","Symbol","Weekly %","20days","Momentum"
"13th Jul'26","NIFTYMEDIA",2.09,1.86,0.573
"13th Jul'26","NIFTYAUTO",0.45,2.62,0.636
"13th Jul'26","NIFTYSMALLCAP250",0.292,6.4,1.41
"13th Jul'26","NIFTYPVTBANK",0.25,1.82,1.02
"13th Jul'26","NIFTYSMALLCAP50",0.177,7.38,1.66
"13th Jul'26","NIFTYMIDCAP50",0.166,4.77,0.885
"13th Jul'26","BANKNIFTY",0.147,2.32,0.976
"13th Jul'26","NIFTYMICROCAP250",0.129,6.59,1.55
"13th Jul'26","NIFTYMIDSELECT",0.127,4.17,0.812
"13th Jul'26","NIFTYMIDSMALLCAP400",0.103,4.87,0.936
"13th Jul'26","CNXSMALLCAP",0.033,6.73,1.51
"13th Jul'26","NIFTYFINSERVICE",0.019,3.44,0.963
"13th Jul'26","NIFTY",0.017,2.49,0.48
"13th Jul'26","NIFTYMIDCAP150",0.004,4.09,0.689
"13th Jul'26","NIFTYTOTALMKT",0,3.44,0.674
"13th Jul'26","NIFTY500",-0.006,3.31,0.634
"13th Jul'26","NIFTYLARGEMID250",-0.026,3.34,0.593
"13th Jul'26","NIFTY200",-0.044,2.82,0.524
"13th Jul'26","NIFTY100",-0.057,2.6,0.494
"13th Jul'26","CNXPHARMA",-0.12,5.18,1.47
"13th Jul'26","CNXREALTY",-0.154,21.77,3.88
"13th Jul'26","NIFTYHEALTHCARE",-0.257,4.79,1.39
"13th Jul'26","NIFTYCHEMICALS",-0.399,1.5,0.45
"13th Jul'26","CNXINFRA",-0.512,1.56,0.184
"13th Jul'26","NIFTYCONSUMPTION",-0.601,3.9,0.882
"13th Jul'26","NIFTYINDDEFENCE",-0.752,4.66,0.826
