"Date","Symbol","Weekly %","20days","Momentum"
"30th Jul'26","NIFTYAUTO",1.63,4.32,1.2
"30th Jul'26","NIFTYCONSUMPTION",0.522,2.69,0.946
"30th Jul'26","NIFTYMEDIA",0.291,4.36,1.39
"30th Jul'26","NIFTY",0.276,0.585,0.194
"30th Jul'26","NIFTY100",0.244,0.549,0.229
"30th Jul'26","CNXIT",0.23,15.69,2.06
"30th Jul'26","NIFTY200",0.125,0.547,0.242
"30th Jul'26","NIFTYHEALTHCARE",0.02,3.4,1.07
"30th Jul'26","NIFTY500",0.004,0.382,0.27
"30th Jul'26","NIFTYTOTALMKT",-0.021,0.279,0.274
"30th Jul'26","NIFTYMIDSELECT",-0.044,0.709,0.267
"30th Jul'26","NIFTYLARGEMID250",-0.078,0.485,0.277
"30th Jul'26","NIFTYFMCG",-0.098,-0.884,0.028
"30th Jul'26","BANKNIFTY",-0.102,-1.52,0.036
"30th Jul'26","CNXPHARMA",-0.103,4.1,1.2
"30th Jul'26","NIFTYMIDCAP50",-0.327,1.25,0.536
"30th Jul'26","NIFTYMIDCAP150",-0.4,0.42,0.325
"30th Jul'26","NIFTYSMALLCAP50",-0.498,1.41,0.842
"30th Jul'26","NIFTYMIDSMALLCAP400",-0.514,0.014,0.357
"30th Jul'26","CNXSMALLCAP",-0.557,0.452,0.666
"30th Jul'26","NIFTYMICROCAP250",-0.569,-1.94,0.374
"30th Jul'26","NIFTYSMALLCAP250",-0.737,-0.766,0.417
"30th Jul'26","NIFTYCHEMICALS",-1.17,0.399,0.625
"30th Jul'26","CNXREALTY",-2.06,3.19,2.04
