"Date","Symbol","Weekly %","20days","Momentum"
"14th Jul'26","CNXPHARMA",1.03,6.97,1.5
"14th Jul'26","NIFTYHEALTHCARE",0.893,6.15,1.4
"14th Jul'26","NIFTYCHEMICALS",-0.256,0.321,0.408
"14th Jul'26","NIFTYMEDIA",-0.31,1.69,0.62
"14th Jul'26","CNXINFRA",-0.324,-0.213,0.128
"14th Jul'26","NIFTYCONSUMPTION",-0.478,1.65,0.775
"14th Jul'26","NIFTYMIDCAP150",-0.491,2.07,0.695
"14th Jul'26","NIFTYLARGEMID250",-0.547,1.4,0.571
"14th Jul'26","NIFTYMIDCAP50",-0.56,2.78,0.899
"14th Jul'26","NIFTY200",-0.569,0.975,0.488
"14th Jul'26","NIFTY100",-0.603,0.726,0.445
"14th Jul'26","NIFTY500",-0.632,1.35,0.596
"14th Jul'26","NIFTYTOTALMKT",-0.648,1.45,0.634
"14th Jul'26","NIFTY",-0.656,0.831,0.431
"14th Jul'26","NIFTYMIDSMALLCAP400",-0.695,2.71,0.922
"14th Jul'26","NIFTYPVTBANK",-0.846,0.375,0.929
"14th Jul'26","NIFTYMIDSELECT",-0.856,1.98,0.812
"14th Jul'26","NIFTYINDDEFENCE",-0.941,2.14,0.669
"14th Jul'26","NIFTYMICROCAP250",-0.993,3.71,1.49
"14th Jul'26","CNXSMALLCAP",-1.01,4.5,1.47
"14th Jul'26","NIFTYSMALLCAP250",-1.08,3.94,1.36
"14th Jul'26","NIFTYSMALLCAP50",-1.08,5.07,1.62
"14th Jul'26","NIFTYFINSERVICE",-1.12,0.997,0.862
"14th Jul'26","BANKNIFTY",-1.15,0.461,0.881
"14th Jul'26","NIFTYAUTO",-1.61,-1.59,0.505
"14th Jul'26","CNXREALTY",-1.97,14.82,3.95
