Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
22nd May'26,PARAS,midcap,2.69,57.32,62.05,aerospace & defence,Screener 1,,,
22nd May'26,ABCAPITAL,largecap,2.26,56.39,65.99,financials,Screener 1,,,
22nd May'26,HINDZINC,largecap,0.669,55.91,61.82,metals & mining,Screener 1,,,
22nd May'26,NESTLEIND,largecap,1.18,55.45,61.05,fmcg,Screener 1,,,
22nd May'26,RBLBANK,largecap,1.7,55.01,64.14,bank,Screener 1,,,
22nd May'26,OCCLLTD,,19.99,,,,Tiger breakouts,21.05,smallcap,chemicals
22nd May'26,3MINDIA,,3.46,,,,Tiger breakouts,15.76,largecap,miscellaneous
22nd May'26,MINDACORP,,7.04,,,,Tiger breakouts,12.75,midcap,auto
22nd May'26,NYKAA,,1.0,,,,Tiger breakouts,9.79,largecap,i.t
22nd May'26,NGLFINE,,9.35,,,,Tiger breakouts,7.54,smallcap,healthcare
22nd May'26,PAGEIND,,2.8,,,,Tiger breakouts,5.5,largecap,consumer discretionary
22nd May'26,XPROINDIA,,4.37,,,,Tiger breakouts,4.08,smallcap,industrials
22nd May'26,DJML,,-0.411,,,,Tiger breakouts,3.99,smallcap,transportation
22nd May'26,REDTAPE,,4.33,,,,Tiger breakouts,3.04,midcap,consumer discretionary
22nd May'26,FAZE3Q,,-1.93,,,,Tiger breakouts,2.95,smallcap,textiles
22nd May'26,HONAUT,,1.26,,,,Tiger breakouts,2.64,largecap,consumer discretionary
22nd May'26,NARMADA,,5.06,,,,Tiger breakouts,2.58,smallcap,fmcg
22nd May'26,AGARWALEYE,,-0.364,,,,Tiger breakouts,2.43,midcap,healthcare
22nd May'26,BANSWRAS,,2.12,,,,Tiger breakouts,2.39,smallcap,textiles
22nd May'26,TECHNOE,,3.11,,,,Tiger breakouts,2.32,midcap,realty
22nd May'26,LUMAXIND,,-0.291,,,,Tiger breakouts,2.13,midcap,auto
