symbol,volume_conviction,accumulation_pattern,sector_strength,institutional_score,multibagger_bonus,delivery_pct,fii_holding,dii_holding,volume_trend,price_momentum,block_buying_detected,sustained_volume,price_tightening,volume_distribution,total_score,signal,close
GRANULES,52.0,22,10,8,6,0.0,17.5,16.11,Rising,4.8426150802651335,False,False,True,79.15144861251655,81.66666666666667,Strong Buy,909.2999877929688
SMARTLINK,22.0,15,10,1,6,0.0,0.0,0.0,Stable,9.24010769887742,False,False,True,58.541273800109494,45.0,Avoid,230.3000030517578
DYNAMATECH,12.0,15,10,8,6,0.0,10.26,15.86,Rising,4.563920822888745,False,False,True,73.9385783113073,42.5,Avoid,12097.0
STEL,24.0,9,10,1,0,0.0,0.01,0.07,Declining,0.5263943154072637,False,False,False,69.32789296721771,36.666666666666664,Avoid,611.0999755859375
AKUMS,8.0,15,10,5,6,0.0,1.91,13.44,Declining,2.8754986377590885,False,False,True,60.71355956737502,36.666666666666664,Avoid,776.3499755859375
AARTIPHARM,10.0,12,10,5,6,0.0,8.17,7.22,Stable,-3.708660460951896,False,False,True,67.86582900185655,35.833333333333336,Avoid,826.9500122070312
BLBLIMITED,16.0,15,10,1,0,0.0,0.0,0.0,Stable,-3.297368910949694,False,False,False,50.672820968002874,35.0,Avoid,16.1299991607666
ACMESOLAR,10.0,15,10,6,0,0.0,4.39,19.1,Declining,-2.6261663472840646,False,False,False,65.5486416934556,34.166666666666664,Avoid,402.29998779296875
DIVGIITTS,8.0,15,10,8,0,0.0,1.86,26.16,Declining,-3.5693744887258627,False,False,False,63.61189336650392,34.166666666666664,Avoid,1188.300048828125
MATRIMONY,4.0,15,10,6,6,0.0,19.2,5.17,Stable,-2.6935072920890812,False,False,True,51.08638514105485,34.166666666666664,Avoid,514.7999877929688
TITAN,4.0,12,10,8,6,0.0,15.39,15.15,Stable,0.29029029029028486,False,False,True,33.376311737409566,33.33333333333333,Avoid,5009.5
AEGISLOG,6.0,18,10,6,0,0.0,19.54,3.6,Stable,7.968415753760105,False,False,False,55.62309980981299,33.33333333333333,Avoid,1353.5999755859375
PRICOLLTD,4.0,12,10,8,6,0.0,13.95,11.79,Stable,-0.46408101657863243,False,False,True,44.762142186089775,33.33333333333333,Avoid,761.4000244140625
AETHER,6.0,12,10,5,6,0.0,7.42,10.49,Stable,3.0204217718593274,False,False,True,55.96185785238066,32.5,Avoid,1674.699951171875
SOFTTECH,4.0,18,10,1,6,0.0,0.0,0.0,Stable,6.9006292397996605,False,False,True,44.36535083664602,32.5,Avoid,452.3500061035156
INDGN,8.0,9,10,5,6,0.0,9.92,8.74,Declining,-3.5037959214847647,False,False,True,60.585642402032946,31.666666666666664,Avoid,578.3499755859375
MMFL,6.0,15,10,1,6,0.0,2.44,7.49,Stable,0.2539337697332611,False,True,False,56.51864762385117,31.666666666666664,Avoid,631.7000122070312
HITECHCORP,4.0,15,10,1,6,0.0,0.0,0.13,Stable,-0.7418397626112738,False,False,True,46.856783494182814,30.0,Avoid,334.5
OFSS,4.0,9,10,5,6,0.0,9.7,8.79,Declining,-0.7090402633578075,False,False,True,41.4072776207209,28.333333333333332,Avoid,11763.0
LUMAXTECH,4.0,5,10,8,6,0.0,8.7,16.53,Declining,3.0069724191100544,False,False,True,48.03676037619359,27.500000000000004,Avoid,1993.699951171875
MIDSELIETF,4.0,12,10,1,6,0.0,0.0,0.0,Stable,0.0,False,False,True,30.320337795130005,27.500000000000004,Avoid,19.780000686645508
ESABINDIA,4.0,9,10,3,6,0.0,1.62,12.87,Stable,-3.024309847548412,False,False,True,41.11748141245112,26.666666666666668,Avoid,5884.0
INDOBORAX,8.0,12,10,1,0,0.0,0.13,0.04,Declining,-3.8495930040959414,False,False,False,62.96875440777896,25.833333333333336,Avoid,484.54998779296875
KANPRPLA,10.0,9,10,1,0,0.0,0.0,1.67,Stable,5.755399412835449,False,False,False,67.18921594406892,25.0,Avoid,264.6000061035156
QUESS,4.0,9,10,6,0,0.0,8.58,11.86,Stable,2.4734963914941455,False,False,False,36.19060279363999,24.166666666666668,Avoid,348.0
RBA,6.0,5,10,8,0,0.0,9.25,39.62,Stable,0.9264040264983064,False,False,False,56.16127889176485,24.166666666666668,Avoid,98.05000305175781
THELEELA,4.0,9,10,5,0,0.0,7.87,11.51,Declining,-0.2207934143571788,False,False,False,47.8691801964099,23.333333333333332,Avoid,542.2999877929688
TIIL,4.0,12,10,1,0,0.0,0.4,7.18,Stable,1.7404323488381612,False,False,False,36.34473337126645,22.5,Avoid,3250.199951171875
SAKHTISUG,6.0,9,10,1,0,0.0,0.0,0.01,Stable,-0.3005985405533318,False,False,False,56.61636103817245,21.666666666666668,Avoid,19.899999618530273
GULFPETRO,4.0,9,10,1,0,0.0,0.37,0.0,Stable,-2.7765160512450815,False,False,False,33.80276887662049,20.0,Avoid,64.08000183105469
PONNIERODE,4.0,5,10,1,0,0.0,9.46,0.05,Stable,-2.967709698325627,False,False,False,49.130623455242805,16.666666666666664,Avoid,371.1000061035156
DCMNVL,4.0,5,10,1,0,0.0,0.55,1.58,Stable,-3.3466707486565883,False,False,False,24.83698740090728,16.666666666666664,Avoid,178.77000427246094
KOHINOOR,4.0,5,10,1,0,0.0,0.0,0.0,Rising,-0.06478930100400904,False,False,False,34.271146848748934,16.666666666666664,Avoid,30.850000381469727
