Date,Symbol,Price,% change,Roc 10days,Rsi 14,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
24th Aug'26 3:29:00,QUADFUTURE,447.3,10.35,20.94,69.36,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,BAFNAPH,254.55,4.99,-8.86,54.79,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,SETCO,17.99,3.75,0.391,56.86,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,ABB,7504.0,1.08,-1.9,51.71,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,ATALREAL,33.66,0.538,-2.63,53.34,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,ABCAPITAL,412.9,-0.024,1.26,56.02,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,ARMANFIN,1954.4,-0.625,-1.51,51.75,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,ARIHANT,999.6,-0.755,-11.09,45.2,M Swing scan,,,,,,,,
24th Aug'26 3:29:00,LANDMARK,,,-3.49,58.48,RSI 5 SWING TRADE STRATEGY,7.29,0.185,63.32,,,,,
24th Aug'26 3:29:00,BAFNAPH,,,-8.86,54.79,RSI 5 SWING TRADE STRATEGY,4.99,-3.18,66.0,,,,,
24th Aug'26 3:29:00,CHEMCON,,,0.699,58.37,RSI 5 SWING TRADE STRATEGY,4.02,9.93,54.92,,,,,
24th Aug'26 3:29:00,KOTHARIPET,,,-7.74,45.7,RSI 5 SWING TRADE STRATEGY,1.34,-4.01,52.23,,,,,
24th Aug'26 3:29:00,IKIO,,,-1.85,45.43,RSI 5 SWING TRADE STRATEGY,1.25,-3.08,56.33,,,,,
24th Aug'26 3:29:00,ABB,,,-1.9,51.71,RSI 5 SWING TRADE STRATEGY,1.08,3.01,60.16,,,,,
24th Aug'26 3:29:00,SONATSOFTW,,,-4.17,47.06,RSI 5 SWING TRADE STRATEGY,0.905,-4.87,52.77,,,,,
24th Aug'26 3:29:00,MAHLOG,,,-2.01,50.51,RSI 5 SWING TRADE STRATEGY,0.486,-1.56,56.96,,,,,
24th Aug'26 3:29:00,SUPRAJIT,,,-4.06,49.46,RSI 5 SWING TRADE STRATEGY,0.465,0.624,59.29,,,,,
24th Aug'26 3:29:00,YATHARTH,,,,,Turtle strategy,,,,midcap,6.13,66.02,64.9,healthcare
24th Aug'26 3:29:00,STOVEKRAFT,,,,,Turtle strategy,,,,smallcap,5.91,61.32,61.17,consumer discretionary
24th Aug'26 3:29:00,RISHABH,,,,,Turtle strategy,,,,smallcap,4.52,60.68,69.49,industrials
24th Aug'26 3:29:00,SHREEPUSHK,,,,,Turtle strategy,,,,smallcap,6.42,60.12,60.53,chemicals
24th Aug'26 3:29:00,NRAIL,,,,,Turtle strategy,,,,smallcap,2.97,58.86,61.54,building materials
24th Aug'26 3:29:00,GRWRHITECH,,,,,Turtle strategy,,,,midcap,1.56,58.24,70.17,industrials
24th Aug'26 3:29:00,AURUM,,,,,Turtle strategy,,,,smallcap,1.91,57.53,60.9,i.t
24th Aug'26 3:29:00,JSWINFRA,,,,,Turtle strategy,,,,largecap,1.34,57.22,63.88,transportation
24th Aug'26 3:29:00,RML,,,,,Turtle strategy,,,,smallcap,5.43,56.64,63.66,auto
24th Aug'26 3:29:00,SYRMA,,,,,Turtle strategy,,,,largecap,1.43,55.63,81.52,consumer discretionary
