Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
25th Jun'26,WHEELS,smallcap,6.89,63.19,79.86,auto,Screener 1,,,
25th Jun'26,VIJAYA,midcap,4.21,60.8,68.53,healthcare,Screener 1,,,
25th Jun'26,CGPOWER,largecap,2.46,57.84,68.39,industrials,Screener 1,,,
25th Jun'26,MARICO,largecap,0.775,56.66,66.7,fmcg,Screener 1,,,
25th Jun'26,MTARTECH,largecap,2.57,56.49,87.84,aerospace & defence,Screener 1,,,
25th Jun'26,SUVEN,midcap,4.93,56.21,64.89,healthcare,Screener 1,,,
25th Jun'26,ADANIENSOL,largecap,0.795,55.6,64.31,power & utilities,Screener 1,,,
25th Jun'26,ONWARDTEC,,6.07,,,,Tiger breakouts,208.29,smallcap,i.t
25th Jun'26,RAMCOIND,,12.69,,,,Tiger breakouts,143.24,smallcap,building materials
25th Jun'26,REPCOHOME,,7.44,,,,Tiger breakouts,27.63,smallcap,financials
25th Jun'26,SUPERHOUSE,,3.47,,,,Tiger breakouts,13.79,smallcap,consumer discretionary
25th Jun'26,MOTHERSON,,4.93,,,,Tiger breakouts,4.69,largecap,auto
25th Jun'26,WELCORP,,3.49,,,,Tiger breakouts,4.14,largecap,industrials
25th Jun'26,AADHARHFC,,2.41,,,,Tiger breakouts,3.99,largecap,financials
25th Jun'26,SIYSIL,,1.33,,,,Tiger breakouts,3.99,smallcap,textiles
25th Jun'26,NARMADA,,8.23,,,,Tiger breakouts,3.16,smallcap,fmcg
25th Jun'26,VIJAYA,,4.21,,,,Tiger breakouts,2.72,midcap,healthcare
25th Jun'26,HEALTHX,,1.61,,,,Tiger breakouts,2.7,smallcap,financials
25th Jun'26,MANAKSTEEL,,1.97,,,,Tiger breakouts,2.68,smallcap,metals & mining
25th Jun'26,SHREEPUSHK,,2.17,,,,Tiger breakouts,2.56,smallcap,chemicals
