Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
18th Sep'26 3:29:00,VISAKAIND,97.36,7.21,7.58,62.02,91.41,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,AZAD,2790.3,7.1,0.846,54.65,2741.49,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,JSWINFRA,348.25,6.61,4.24,59.76,335.66,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,PRECWIRE,478.4,6.49,-1.94,57.45,461.13,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,APARINDS,18858.0,5.94,6.52,65.0,17526.13,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,CAPLIPOINT,2748.6,5.85,-3.39,56.98,2692.79,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,ABCAPITAL,410.05,5.14,2.0,56.32,394.01,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,SALSTEEL,82.26,4.99,0.268,62.45,77.07,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,SUDARSCHEM,1263.5,4.82,1.14,60.49,1231.72,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,NAVINFLUOR,8590.0,4.5,-1.23,56.27,8493.63,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,SHRIPISTON,4576.6,4.36,0.556,56.94,4413.07,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,HONASA,479.55,4.23,0.524,53.89,470.01,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,JGCHEM,612.4,4.12,0.033,55.18,595.73,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,ENTERO,1732.3,3.94,-6.26,56.71,1777.65,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,PVP,59.28,3.91,-8.66,57.1,61.99,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,SONACOMS,808.0,3.87,1.0,56.11,792.36,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,TATVA,1770.2,3.54,10.9,62.13,1663.8,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,VIJAYA,1558.9,3.51,3.55,63.96,1493.71,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,THEMISMED,123.97,3.44,-0.721,53.77,126.29,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,QPOWER,1536.1,3.11,7.86,63.74,1465.2,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,DCMNVL,180.2,3.07,-1.01,54.99,176.64,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,PNBHOUSING,1133.1,2.68,-1.08,47.23,1147.83,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,RKFORGE,724.1,2.64,-0.378,54.54,708.35,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,NYKAA,332.15,2.59,-0.613,49.06,336.02,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,FLUOROCHEM,4586.7,2.57,-2.3,48.97,4648.04,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,BHEL,439.9,2.49,1.88,58.51,426.11,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,OFSS,11896.0,2.38,-2.08,53.47,11715.88,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,VMART,808.15,2.29,-3.69,48.63,805.88,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,DIFFNKG,445.8,2.28,-6.66,55.44,439.96,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,MOTILALOFS,1010.0,2.15,-0.277,54.49,1010.5,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,ASAHISONG,372.8,2.1,1.08,54.33,369.41,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,KMEW,2885.6,2.03,-8.41,54.28,2860.91,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,ARVIND,552.6,2.03,-2.54,50.02,561.24,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,IPCALAB,2009.6,1.99,2.73,66.97,1966.65,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,THELEELA,540.55,1.99,-4.5,52.22,535.95,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,AUSOMENT,152.15,1.96,-4.88,56.44,152.33,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,SMALLCAP,49.09,1.89,0.061,55.6,48.76,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,NAZARA,369.35,1.88,0.971,58.12,366.02,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,SURAKSHA,335.1,1.87,-1.33,62.13,330.16,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,GLAND,2961.9,1.86,1.86,59.52,2930.81,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,ADOR,1592.1,1.78,-7.14,51.04,1590.29,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,SML100CASE,11.32,1.71,-0.789,53.49,11.25,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,MMFL,628.55,1.61,-2.06,52.81,619.56,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,ORIENTBELL,393.25,1.55,-4.7,56.31,399.94,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,INDGN,600.1,1.41,-0.008,63.24,583.48,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,ROLEXRINGS,172.08,1.33,-1.57,51.72,171.55,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,GLENMARK,2447.4,1.3,-0.472,57.88,2423.6,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,INDOBORAX,472.6,1.25,-7.84,48.93,482.56,M Swing scan,,,,,,,,
18th Sep'26 3:29:00,MSTCLTD,724.05,1.23,-2.71,53.55,732.85,M Swing scan,,,,,,,,
