Date,Symbol,D change,M change,W rsi,Scanner_Source,Mcap,Change,Dpower,Mpower,Sector,Volume multiples,Marketcap,Sectors
23rd Jul'26,CPPLUS,4.83,-0.943,80.4,RSI 5 SWING TRADE STRATEGY,,,,,,,,
23rd Jul'26,SIGNPOST,3.03,10.22,58.98,RSI 5 SWING TRADE STRATEGY,,,,,,,,
23rd Jul'26,GRWRHITECH,1.98,2.52,74.88,RSI 5 SWING TRADE STRATEGY,,,,,,,,
23rd Jul'26,ANUP,0.915,-9.62,51.87,RSI 5 SWING TRADE STRATEGY,,,,,,,,
23rd Jul'26,NH,0.737,0.548,58.98,RSI 5 SWING TRADE STRATEGY,,,,,,,,
23rd Jul'26,SPAL,0.493,-14.12,59.66,RSI 5 SWING TRADE STRATEGY,,,,,,,,
23rd Jul'26,SHREEPUSHK,0.386,-4.2,53.86,RSI 5 SWING TRADE STRATEGY,,,,,,,,
23rd Jul'26,KANPRPLA,,,,Screener 1,smallcap,4.73,62.41,60.22,industrials,,,
23rd Jul'26,SURYODAY,,,,Screener 1,smallcap,7.19,61.59,62.42,bank,,,
23rd Jul'26,BHAGYANGR,,,,Screener 1,smallcap,4.99,59.15,81.2,power & utilities,,,
23rd Jul'26,STEELCAS,,,,Screener 1,smallcap,1.24,56.7,72.25,industrials,,,
23rd Jul'26,GRWRHITECH,,,,Screener 1,midcap,1.98,55.6,68.8,industrials,,,
23rd Jul'26,PPAP,,,,Screener 1,smallcap,1.99,55.57,61.63,auto,,,
23rd Jul'26,TANLA,,,,Tiger breakouts,,10.13,,,,28.71,midcap,i.t
23rd Jul'26,TNPL,,,,Tiger breakouts,,5.82,,,,21.24,smallcap,building materials
23rd Jul'26,MAHLIFE,,,,Tiger breakouts,,0.909,,,,15.18,midcap,realty
23rd Jul'26,KOTHARIPET,,,,Tiger breakouts,,5.77,,,,14.98,smallcap,energy
23rd Jul'26,KRYSTAL,,,,Tiger breakouts,,0.092,,,,10.44,smallcap,miscellaneous
23rd Jul'26,GRPLTD,,,,Tiger breakouts,,4.44,,,,9.84,smallcap,fmcg
23rd Jul'26,HEG,,,,Tiger breakouts,,4.17,,,,8.68,midcap,industrials
23rd Jul'26,NRAIL,,,,Tiger breakouts,,7.89,,,,8.63,smallcap,building materials
23rd Jul'26,SURYODAY,,,,Tiger breakouts,,7.19,,,,6.57,smallcap,bank
23rd Jul'26,MEDANTA,,,,Tiger breakouts,,1.83,,,,5.92,largecap,healthcare
23rd Jul'26,WSTCSTPAPR,,,,Tiger breakouts,,2.13,,,,5.34,smallcap,building materials
23rd Jul'26,STARPAPER,,,,Tiger breakouts,,1.71,,,,5.01,smallcap,building materials
23rd Jul'26,COSMOFIRST,,,,Tiger breakouts,,1.4,,,,4.31,smallcap,industrials
23rd Jul'26,KRISHANA,,,,Tiger breakouts,,8.42,,,,4.13,smallcap,chemicals
23rd Jul'26,CARERATING,,,,Tiger breakouts,,3.27,,,,4.12,midcap,financials
23rd Jul'26,SUNDROP,,,,Tiger breakouts,,6.22,,,,3.9,smallcap,fmcg
23rd Jul'26,UDS,,,,Tiger breakouts,,6.11,,,,3.74,smallcap,miscellaneous
23rd Jul'26,MARALOVER,,,,Tiger breakouts,,3.45,,,,3.06,smallcap,textiles
23rd Jul'26,MOLDTKPAC,,,,Tiger breakouts,,1.24,,,,3.03,smallcap,industrials
23rd Jul'26,NHPC,,,,Tiger breakouts,,-0.037,,,,2.98,largecap,power & utilities
23rd Jul'26,UNITDSPR,,,,Tiger breakouts,,0.983,,,,2.54,largecap,fmcg
23rd Jul'26,SJS,,,,Tiger breakouts,,1.56,,,,2.52,midcap,auto
23rd Jul'26,PRICOLLTD,,,,Tiger breakouts,,3.44,,,,2.35,midcap,auto
23rd Jul'26,BOSCHLTD,,,,Tiger breakouts,,1.64,,,,2.31,largecap,auto
