Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
17th Sep'26 3:29:00,SALSTEEL,78.35,5.0,-4.5,57.36,77.01,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,MAZDA,263.45,4.98,0.823,59.36,263.02,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,ASAHISONG,365.15,4.94,-0.748,51.27,371.71,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,NAHARINDUS,133.47,4.85,-0.291,53.84,133.03,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,VIJAYA,1506.1,4.71,1.69,56.95,1486.04,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,QPOWER,1489.8,4.7,2.35,60.51,1458.5,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,MANGLMCEM,1035.2,4.69,-5.28,54.27,1033.8,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,BHEL,429.2,4.53,0.398,53.82,423.81,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,KMEW,2828.1,4.41,-4.18,51.34,2870.41,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,APARINDS,17801.0,4.25,5.88,57.99,17384.88,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,VISAKAIND,90.81,4.2,3.38,51.0,90.76,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,AYMSYNTEX,281.95,4.12,-9.78,51.8,292.9,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,SUVEN,349.85,3.98,-6.17,48.66,355.07,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,TATVA,1709.6,3.81,5.73,57.38,1654.5,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,KHAITANLTD,154.95,3.74,-3.64,52.8,158.89,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,SBCL,1091.8,3.29,3.89,57.65,1087.72,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,NAZARA,362.55,3.25,-0.943,53.76,366.14,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,INDGN,591.75,3.24,-1.4,59.75,583.38,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,JTLIND,87.32,3.22,-5.5,55.54,87.44,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,UNIPARTS,878.05,3.16,-0.936,57.48,885.04,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,APCOTEXIND,599.4,3.15,-4.65,47.16,602.67,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,GLAND,2907.8,2.87,1.37,55.5,2932.36,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,MBAPL,163.9,2.55,3.04,55.06,161.38,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,RKFORGE,705.45,2.42,-2.84,49.35,706.12,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,HNDFDS,620.35,2.29,-0.393,52.1,616.41,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,SEAMECLTD,1738.5,2.17,0.161,59.38,1759.17,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,SHAHALLOYS,92.47,2.11,-17.78,53.19,95.84,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,ANTHEM,927.4,2.09,-0.76,56.39,937.02,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,BEPL,127.47,2.04,0.141,53.17,128.21,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,MMFL,618.6,1.92,-4.54,50.25,618.26,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,ADOR,1564.3,1.83,-9.59,47.45,1596.79,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,MCX,3265.2,1.68,-0.633,56.17,3281.01,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,DIFFNKG,435.85,1.67,-8.59,52.04,441.04,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,MSTCLTD,715.25,1.66,0.492,51.72,740.55,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,SONACOMS,777.9,1.29,-0.607,46.3,789.86,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,ENGINERSIN,263.75,1.19,-4.65,53.64,269.65,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,THELEELA,530.0,1.11,-7.0,47.87,536.32,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,GULFPETRO,61.77,1.1,-8.57,47.97,63.85,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,MARKSANS,319.7,1.03,-3.85,52.35,326.24,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,IPCALAB,1970.3,1.0,0.705,61.51,1960.34,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,JGCHEM,588.15,0.901,-2.11,50.22,591.85,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,ORIENTBELL,387.25,0.794,-3.34,53.39,402.67,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,E2E,604.4,0.775,-0.666,52.27,606.57,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,SURAKSHA,328.95,0.658,-3.35,58.41,330.63,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,STOVEKRAFT,833.65,0.616,-1.27,55.72,831.23,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,SUDARSCHEM,1205.4,0.559,-3.24,52.31,1228.76,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,KDDL,3837.6,0.487,-0.397,51.32,3882.03,M Swing scan,,,,,,,,
17th Sep'26 3:29:00,HITECHCORP,331.8,0.393,-1.41,51.55,332.84,M Swing scan,,,,,,,,
