Date,Symbol,D change,M change,W rsi,Scanner_Source,Mcap,Change,Dpower,Mpower,Sector,Volume multiples,Marketcap,Sectors
21st Jul'26,HECPROJECT,20.0,9.36,56.48,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,VERANDA,5.9,-0.707,58.37,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,GULFPETRO,4.79,0.0,54.95,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,ZENTEC,3.94,2.55,58.65,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,PRUDENT,2.89,-2.73,58.45,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,BHARATGEAR,2.77,-8.02,54.25,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,SYRMA,2.51,-1.57,68.38,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,JTLIND,1.76,-4.07,54.67,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,GPTHEALTH,1.33,1.7,58.17,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,IGARASHI,1.12,-0.403,57.79,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,POKARNA,1.1,-5.32,54.95,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,ICIL,1.04,-9.52,65.15,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,OLECTRA,0.721,-9.62,54.69,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,WSTCSTPAPR,0.532,-2.75,57.85,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,PATELRMART,0.274,-0.093,52.74,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,ORBTEXP,0.222,0.295,63.7,RSI 5 SWING TRADE STRATEGY,,,,,,,,
21st Jul'26,KARURVYSYA,,,,Screener 1,largecap,13.06,69.59,75.21,bank,,,
21st Jul'26,ARIHANT,,,,Screener 1,smallcap,6.29,67.64,90.46,realty,,,
21st Jul'26,SCPL,,,,Screener 1,smallcap,13.34,63.16,68.17,fmcg,,,
21st Jul'26,ASHIANA,,,,Screener 1,smallcap,5.81,63.15,62.93,realty,,,
21st Jul'26,SJS,,,,Screener 1,midcap,2.36,61.14,78.27,auto,,,
21st Jul'26,SHRIRAMFIN,,,,Screener 1,largecap,2.52,60.69,68.29,financials,,,
21st Jul'26,WELINV,,,,Screener 1,smallcap,3.71,59.95,71.28,financials,,,
21st Jul'26,NGLFINE,,,,Screener 1,smallcap,7.55,58.28,71.96,healthcare,,,
21st Jul'26,HFCL,,,,Screener 1,largecap,4.78,58.0,81.31,telecom,,,
21st Jul'26,PPAP,,,,Screener 1,smallcap,5.0,57.89,62.33,auto,,,
21st Jul'26,RML,,,,Screener 1,smallcap,1.8,57.53,64.72,auto,,,
21st Jul'26,ALIVUS,,,,Screener 1,midcap,1.16,56.8,62.62,healthcare,,,
21st Jul'26,GRASIM,,,,Screener 1,largecap,1.15,56.57,65.14,textiles,,,
21st Jul'26,SUNFLAG,,,,Screener 1,midcap,2.55,56.37,62.74,metals & mining,,,
21st Jul'26,LALPATHLAB,,,,Screener 1,largecap,0.402,55.92,61.74,healthcare,,,
21st Jul'26,YATHARTH,,,,Screener 1,midcap,0.978,55.89,63.94,healthcare,,,
21st Jul'26,INNOVACAP,,,,Screener 1,midcap,0.699,55.81,65.25,healthcare,,,
21st Jul'26,SBCL,,,,Screener 1,smallcap,0.904,55.36,65.62,metals & mining,,,
21st Jul'26,RRKABEL,,,,Screener 1,largecap,0.536,55.35,67.95,industrials,,,
21st Jul'26,DCBBANK,,,,Screener 1,midcap,0.195,55.28,60.51,bank,,,
21st Jul'26,ASHIANA,,,,Tiger breakouts,,5.81,,,,225.48,smallcap,realty
21st Jul'26,KARURVYSYA,,,,Tiger breakouts,,13.06,,,,32.66,largecap,bank
21st Jul'26,VIMTALABS,,,,Tiger breakouts,,13.08,,,,23.82,smallcap,healthcare
21st Jul'26,ACE,,,,Tiger breakouts,,4.43,,,,20.47,midcap,industrials
21st Jul'26,RAJRATAN,,,,Tiger breakouts,,5.44,,,,18.68,smallcap,metals & mining
21st Jul'26,SUPREMEINF,,,,Tiger breakouts,,12.11,,,,14.37,smallcap,realty
21st Jul'26,STYRENIX,,,,Tiger breakouts,,3.71,,,,8.82,smallcap,energy
21st Jul'26,M&MFIN,,,,Tiger breakouts,,8.46,,,,7.58,largecap,financials
21st Jul'26,MANBA,,,,Tiger breakouts,,1.46,,,,4.83,smallcap,financials
21st Jul'26,SANATHAN,,,,Tiger breakouts,,5.31,,,,4.55,smallcap,textiles
21st Jul'26,MANAPPURAM,,,,Tiger breakouts,,4.35,,,,4.41,largecap,financials
21st Jul'26,TIIL,,,,Tiger breakouts,,2.3,,,,4.06,midcap,metals & mining
21st Jul'26,SMLMAH,,,,Tiger breakouts,,2.45,,,,4.05,midcap,auto
21st Jul'26,BASML,,,,Tiger breakouts,,3.52,,,,4.0,smallcap,textiles
21st Jul'26,TVSHLTD,,,,Tiger breakouts,,1.46,,,,3.58,largecap,financials
21st Jul'26,JKCEMENT,,,,Tiger breakouts,,3.76,,,,3.49,largecap,building materials
21st Jul'26,TVSMOTOR,,,,Tiger breakouts,,5.62,,,,3.33,largecap,auto
21st Jul'26,ULTRACEMCO,,,,Tiger breakouts,,1.6,,,,3.28,largecap,building materials
21st Jul'26,BASF,,,,Tiger breakouts,,3.99,,,,3.26,midcap,chemicals
21st Jul'26,KECL,,,,Tiger breakouts,,5.0,,,,2.45,smallcap,industrials
21st Jul'26,INDIACEM,,,,Tiger breakouts,,3.24,,,,2.38,midcap,building materials
21st Jul'26,MAWANASUG,,,,Tiger breakouts,,4.4,,,,2.19,smallcap,fmcg
21st Jul'26,TMB,,,,Tiger breakouts,,1.54,,,,2.17,midcap,bank
21st Jul'26,NGLFINE,,,,Tiger breakouts,,7.55,,,,2.03,smallcap,healthcare
