Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
1st Jul'26,SCPL,smallcap,13.01,67.28,67.61,fmcg,Screener 1,,,
1st Jul'26,MBAPL,smallcap,5.56,65.86,78.68,chemicals,Screener 1,,,
1st Jul'26,HALEOSLABS,smallcap,12.83,65.73,65.78,healthcare,Screener 1,,,
1st Jul'26,NESTLEIND,largecap,3.46,61.49,62.05,fmcg,Screener 1,,,
1st Jul'26,LOKESHMACH,smallcap,5.0,60.22,60.99,industrials,Screener 1,,,
1st Jul'26,ADANIPORTS,largecap,2.1,59.34,67.69,transportation,Screener 1,,,
1st Jul'26,VTL,midcap,1.58,58.01,68.17,textiles,Screener 1,,,
1st Jul'26,OMAXAUTO,smallcap,4.99,57.99,68.13,auto,Screener 1,,,
1st Jul'26,GRASIM,largecap,1.3,57.71,64.35,textiles,Screener 1,,,
1st Jul'26,ADANIENSOL,largecap,2.01,57.16,64.37,power & utilities,Screener 1,,,
1st Jul'26,DEEDEV,smallcap,5.0,57.12,73.47,metals & mining,Screener 1,,,
1st Jul'26,J&KBANK,midcap,0.944,56.16,71.33,bank,Screener 1,,,
1st Jul'26,KRISHANA,smallcap,1.4,55.09,75.06,chemicals,Screener 1,,,
1st Jul'26,HINDCOMPOS,,10.63,,,,Tiger breakouts,64.55,smallcap,auto
1st Jul'26,MUNJALAU,,10.08,,,,Tiger breakouts,38.52,smallcap,auto
1st Jul'26,IKS,,7.19,,,,Tiger breakouts,11.62,largecap,i.t
1st Jul'26,VARDHACRLC,,3.48,,,,Tiger breakouts,6.55,smallcap,textiles
1st Jul'26,DBSTOCKBRO,,2.62,,,,Tiger breakouts,6.38,smallcap,financials
1st Jul'26,SSWL,,7.07,,,,Tiger breakouts,5.1,smallcap,auto
1st Jul'26,SATIN,,2.33,,,,Tiger breakouts,4.1,smallcap,financials
1st Jul'26,DELHIVERY,,7.55,,,,Tiger breakouts,3.6,largecap,transportation
1st Jul'26,EIMCOELECO,,5.66,,,,Tiger breakouts,3.32,smallcap,industrials
1st Jul'26,NAVNETEDUL,,4.81,,,,Tiger breakouts,3.2,smallcap,miscellaneous
1st Jul'26,OPTIEMUS,,4.45,,,,Tiger breakouts,3.2,smallcap,telecom
1st Jul'26,EMIL,,5.0,,,,Tiger breakouts,3.05,smallcap,consumer discretionary
1st Jul'26,MBAPL,,5.56,,,,Tiger breakouts,2.81,smallcap,chemicals
1st Jul'26,ETERNAL,,5.71,,,,Tiger breakouts,2.69,largecap,i.t
1st Jul'26,UJJIVANSFB,,3.83,,,,Tiger breakouts,2.46,midcap,bank
1st Jul'26,SWARAJENG,,1.03,,,,Tiger breakouts,2.36,smallcap,industrials
1st Jul'26,CEATLTD,,4.37,,,,Tiger breakouts,2.35,midcap,auto
