Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
3rd Sep'26 3:29:00,MANORAMA,1966.3,8.45,0.388,66.21,1886.54,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,FINCABLES,1272.9,6.86,-1.42,58.28,1261.85,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,PAISALO,70.28,5.65,0.472,57.16,67.99,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,ACE,1145.5,5.0,-1.62,56.55,1128.89,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,FILATEX,76.72,4.65,-5.88,49.51,76.68,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,UYFINCORP,19.93,3.26,-1.43,54.12,19.82,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,VISAKAIND,90.5,3.03,-5.78,51.11,89.94,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,SHAILY,3267.1,2.98,-2.47,53.8,3250.44,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,IL&FSENGG,35.0,2.64,-4.48,51.49,35.19,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,MONARCH,381.3,2.39,-2.69,52.21,377.89,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,CENTENKA,616.65,2.37,8.76,67.21,564.27,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,SONACOMS,800.0,2.22,-2.66,54.53,805.38,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,MBAPL,162.08,1.89,-0.814,54.44,163.09,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,RADICO,4559.0,1.85,-2.92,56.2,4556.19,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,SMARTLINK,212.72,1.6,-5.21,47.43,218.46,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,MOSMALL250,18.55,1.37,0.379,58.17,18.49,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,NIFTYSMALLCAP50,9987.95,1.24,0.87,60.05,9962.34,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,NIFTYSML250MQ100,49077.45,1.22,1.09,60.61,48948.7,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,SMALLCAP,49.06,1.22,0.926,60.79,48.94,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,AJANTPHARM,3521.1,1.13,-3.76,48.89,3539.6,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,ROLEXRINGS,174.83,1.05,-5.91,55.65,179.37,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,KHAITANLTD,162.41,1.0,10.53,65.46,149.07,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,INDOTECH,3610.7,0.936,-3.14,49.55,3693.85,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,MODEFENCE,106.05,0.866,-1.28,50.73,106.52,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,GROWWDEFNC,96.61,0.751,-1.33,50.49,97.09,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,NIFTYINDDEFENCE,9670.9,0.515,-1.33,50.93,9715.08,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,PNBHOUSING,1145.5,0.394,-2.55,51.58,1162.76,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,PARAS,1411.5,-0.113,-6.03,53.9,1433.75,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,CHEMBONDCH,259.0,-0.918,-8.16,50.38,264.63,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,SENORES,1430.4,-1.32,-5.48,47.38,1462.4,M Swing scan,,,,,,,,
3rd Sep'26 3:29:00,MANORAMA,1966.3,,0.388,66.21,1886.54,RSI 5 SWING TRADE STRATEGY,8.45,3.99,74.12,,,,,
3rd Sep'26 3:29:00,FINCABLES,1272.9,,-1.42,58.28,1261.85,RSI 5 SWING TRADE STRATEGY,6.86,2.06,65.83,,,,,
3rd Sep'26 3:29:00,ANANTRAJ,628.3,,-0.876,59.27,604.97,RSI 5 SWING TRADE STRATEGY,6.7,4.04,60.07,,,,,
3rd Sep'26 3:29:00,PAISALO,70.28,,0.472,57.16,67.99,RSI 5 SWING TRADE STRATEGY,5.65,4.41,70.83,,,,,
3rd Sep'26 3:29:00,ACE,1145.5,,-1.62,56.55,1128.89,RSI 5 SWING TRADE STRATEGY,5.0,3.15,67.6,,,,,
3rd Sep'26 3:29:00,FILATEX,76.72,,-5.88,49.51,76.68,RSI 5 SWING TRADE STRATEGY,4.65,2.06,67.87,,,,,
3rd Sep'26 3:29:00,VISAKAIND,90.5,,-5.78,51.11,89.94,RSI 5 SWING TRADE STRATEGY,3.03,2.23,63.65,,,,,
3rd Sep'26 3:29:00,SHAILY,3267.1,,-2.47,53.8,3250.44,RSI 5 SWING TRADE STRATEGY,2.98,-0.159,66.37,,,,,
3rd Sep'26 3:29:00,TMCV,460.35,,-3.61,51.51,467.66,RSI 5 SWING TRADE STRATEGY,2.88,-2.28,60.4,,,,,
3rd Sep'26 3:29:00,UNOMINDA,1269.0,,0.674,57.66,1265.6,RSI 5 SWING TRADE STRATEGY,2.67,-0.549,60.41,,,,,
3rd Sep'26 3:29:00,MONARCH,381.3,,-2.69,52.21,377.89,RSI 5 SWING TRADE STRATEGY,2.39,0.184,65.88,,,,,
3rd Sep'26 3:29:00,SONACOMS,800.0,,-2.66,54.53,805.38,RSI 5 SWING TRADE STRATEGY,2.22,-1.61,73.71,,,,,
3rd Sep'26 3:29:00,JSFB,534.2,,-5.09,46.13,541.02,RSI 5 SWING TRADE STRATEGY,2.06,-0.614,58.35,,,,,
3rd Sep'26 3:29:00,MBAPL,162.08,,-0.814,54.44,163.09,RSI 5 SWING TRADE STRATEGY,1.89,0.39,77.4,,,,,
3rd Sep'26 3:29:00,RADICO,4559.0,,-2.92,56.2,4556.19,RSI 5 SWING TRADE STRATEGY,1.85,1.65,80.67,,,,,
3rd Sep'26 3:29:00,SMARTLINK,212.72,,-5.21,47.43,218.46,RSI 5 SWING TRADE STRATEGY,1.6,-1.75,66.68,,,,,
3rd Sep'26 3:29:00,AJANTPHARM,3521.1,,-3.76,48.89,3539.6,RSI 5 SWING TRADE STRATEGY,1.13,-2.24,64.81,,,,,
3rd Sep'26 3:29:00,ROLEXRINGS,174.83,,-5.91,55.65,179.37,RSI 5 SWING TRADE STRATEGY,1.05,-3.19,62.38,,,,,
3rd Sep'26 3:29:00,MPSLTD,2620.6,,-10.17,46.83,2662.35,RSI 5 SWING TRADE STRATEGY,1.0,-2.35,62.81,,,,,
3rd Sep'26 3:29:00,INDOTECH,3610.7,,-3.14,49.55,3693.85,RSI 5 SWING TRADE STRATEGY,0.936,-2.5,66.59,,,,,
3rd Sep'26 3:29:00,PNBHOUSING,1145.5,,-2.55,51.58,1162.76,RSI 5 SWING TRADE STRATEGY,0.394,-0.279,64.05,,,,,
