Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
11th Jun'26,HIRECT,smallcap,5.55,60.62,67.75,consumer discretionary,Screener 1,,,
11th Jun'26,WOCKPHARMA,largecap,4.95,59.35,65.4,healthcare,Screener 1,,,
11th Jun'26,CENTUM,smallcap,2.6,58.52,69.58,consumer discretionary,Screener 1,,,
11th Jun'26,NAVINFLUOR,largecap,1.57,57.4,75.19,chemicals,Screener 1,,,
11th Jun'26,SPORTKING,smallcap,2.11,56.49,71.25,textiles,Screener 1,,,
11th Jun'26,QPOWER,midcap,1.32,56.44,65.49,industrials,Screener 1,,,
11th Jun'26,GRANULES,midcap,0.309,55.81,70.07,healthcare,Screener 1,,,
11th Jun'26,NOVARTIND,smallcap,0.651,55.33,68.23,healthcare,Screener 1,,,
11th Jun'26,ABDL,,6.43,,,,Tiger breakouts,5.29,midcap,fmcg
11th Jun'26,AARVI,,4.7,,,,Tiger breakouts,5.26,smallcap,miscellaneous
11th Jun'26,JMA,,0.575,,,,Tiger breakouts,5.12,smallcap,auto
