Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
16th Sep'26 3:29:00,TATVA,1646.8,6.43,2.6,51.53,1650.61,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,QPOWER,1422.9,5.0,-4.38,55.13,1459.19,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,SALSTEEL,74.62,5.0,-9.47,51.54,77.39,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,TCPLPACK,3863.0,4.63,0.072,52.48,3866.36,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,TMB,904.2,4.13,-0.429,53.21,915.63,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,SBCL,1057.0,3.61,0.868,53.89,1091.39,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,BEPL,124.92,3.5,-1.76,50.22,128.22,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,E2E,599.75,3.43,-3.41,51.07,606.21,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,JGCHEM,582.9,3.23,-6.93,49.09,593.1,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,APARINDS,17075.0,3.17,-1.87,51.84,17337.38,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,STOVEKRAFT,828.55,2.96,-2.19,54.49,831.09,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,HONASA,469.3,2.64,-0.887,49.04,470.05,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,MBAPL,159.82,2.57,-0.597,49.37,161.66,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,KINGFA,5889.0,2.35,-2.34,50.82,6031.38,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,MMFL,606.95,2.21,-7.68,47.13,619.69,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,INDOBORAX,470.3,2.06,-8.87,47.99,492.49,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,KDDL,3819.0,1.66,-1.51,49.96,3891.2,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,GLENMARK,2410.0,1.61,-2.44,53.07,2426.81,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,HNDFDS,606.45,1.39,-5.85,46.67,615.74,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,GLAXO,2856.2,1.32,-4.67,50.51,2884.84,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,SUDARSCHEM,1198.7,1.31,-3.39,51.22,1230.94,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,DIVGIITTS,1119.7,1.21,-11.75,45.03,1167.03,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,MCX,3211.2,1.19,-2.78,53.01,3282.29,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,SURAKSHA,326.8,1.16,-4.11,57.04,331.07,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,MARKSANS,316.45,1.15,-1.85,50.27,327.12,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,BLSE,313.55,1.11,-4.32,50.69,316.9,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,IPCALAB,1950.7,0.947,-1.86,58.31,1959.71,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,HITECHCORP,330.5,0.793,-2.12,49.37,333.49,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,PRICOLLTD,744.8,0.547,-6.55,47.13,754.41,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,MSTCLTD,703.55,0.335,-3.56,49.24,742.92,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,INDGN,573.2,0.297,-5.32,49.91,584.6,M Swing scan,,,,,,,,
16th Sep'26 3:29:00,MATRIMONY,533.4,,2.77,60.14,517.36,RSI 5 SWING TRADE STRATEGY,7.15,2.83,63.22,,,,,
16th Sep'26 3:29:00,TATVA,1646.8,,2.6,51.53,1650.61,RSI 5 SWING TRADE STRATEGY,6.43,1.24,62.18,,,,,
16th Sep'26 3:29:00,CLSEL,298.25,,-1.37,51.86,298.91,RSI 5 SWING TRADE STRATEGY,5.91,-0.798,56.65,,,,,
16th Sep'26 3:29:00,POLICYBZR,1827.1,,-0.115,56.46,1801.8,RSI 5 SWING TRADE STRATEGY,5.25,-2.55,61.83,,,,,
16th Sep'26 3:29:00,VIDHIING,337.4,,-4.78,51.24,341.85,RSI 5 SWING TRADE STRATEGY,5.22,-4.84,56.61,,,,,
16th Sep'26 3:29:00,TREL,27.03,,-0.442,54.08,26.87,RSI 5 SWING TRADE STRATEGY,5.13,0.371,54.24,,,,,
16th Sep'26 3:29:00,QPOWER,1422.9,,-4.38,55.13,1459.19,RSI 5 SWING TRADE STRATEGY,5.0,-0.898,63.05,,,,,
16th Sep'26 3:29:00,GEECEE,367.15,,-0.38,51.98,365.17,RSI 5 SWING TRADE STRATEGY,4.87,-0.757,60.15,,,,,
