Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
26th May'26,GMDCLTD,largecap,5.74,58.85,69.66,metals & mining,Screener 1,,,
26th May'26,INDOTECH,smallcap,5.0,58.68,61.59,industrials,Screener 1,,,
26th May'26,INOXINDIA,midcap,3.34,57.65,71.59,industrials,Screener 1,,,
26th May'26,AUSOMENT,smallcap,3.23,57.2,63.23,consumer discretionary,Screener 1,,,
26th May'26,AZAD,midcap,3.73,57.13,65.75,aerospace & defence,Screener 1,,,
26th May'26,SILVERTUC,smallcap,4.82,56.65,68.45,i.t,Screener 1,,,
26th May'26,NESTLEIND,largecap,1.06,56.48,61.41,fmcg,Screener 1,,,
26th May'26,MBAPL,smallcap,0.725,56.05,75.72,chemicals,Screener 1,,,
26th May'26,KRISHANA,smallcap,0.832,55.73,73.87,chemicals,Screener 1,,,
26th May'26,STEELCAS,smallcap,1.66,55.26,70.84,industrials,Screener 1,,,
26th May'26,AJANTPHARM,largecap,0.506,55.17,64.54,healthcare,Screener 1,,,
26th May'26,AARVI,,9.04,,,,Tiger breakouts,10.11,smallcap,miscellaneous
26th May'26,AIAENG,,4.29,,,,Tiger breakouts,9.34,largecap,industrials
26th May'26,ASTRAZEN,,1.85,,,,Tiger breakouts,5.53,largecap,healthcare
26th May'26,EXIDEIND,,5.78,,,,Tiger breakouts,4.13,largecap,auto
26th May'26,ADOR,,6.67,,,,Tiger breakouts,3.67,smallcap,industrials
26th May'26,VINCOFE,,7.46,,,,Tiger breakouts,3.47,smallcap,consumer discretionary
26th May'26,KAPSTON,,1.66,,,,Tiger breakouts,2.88,smallcap,miscellaneous
26th May'26,HITECH,,3.69,,,,Tiger breakouts,2.68,smallcap,metals & mining
26th May'26,LIBAS,,1.78,,,,Tiger breakouts,2.45,smallcap,fmcg
26th May'26,WABAG,,3.68,,,,Tiger breakouts,2.43,midcap,realty
