Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
14th May'26,HINDCOPPER,largecap,1.87,67.26,65.51,metals & mining,Screener 1,,,
14th May'26,KEI,largecap,4.58,62.61,62.69,industrials,Screener 1,,,
14th May'26,AGIIL,smallcap,6.22,61.04,85.0,realty,Screener 1,,,
14th May'26,JBCHEPHARM,largecap,2.08,58.54,70.9,healthcare,Screener 1,,,
14th May'26,ABSLAMC,largecap,3.33,57.75,70.0,financials,Screener 1,,,
14th May'26,RBLBANK,largecap,3.52,57.05,64.73,bank,Screener 1,,,
14th May'26,HIRECT,smallcap,3.63,56.3,61.87,consumer discretionary,Screener 1,,,
14th May'26,GLENMARK,largecap,2.77,55.9,70.69,healthcare,Screener 1,,,
14th May'26,CARERATING,,7.93,,,,Tiger breakouts,8.45,smallcap,financials
14th May'26,GOKUL,,5.37,,,,Tiger breakouts,6.37,smallcap,fmcg
14th May'26,ZYDUSLIFE,,5.58,,,,Tiger breakouts,6.22,largecap,healthcare
14th May'26,GMRP&UI,,8.6,,,,Tiger breakouts,5.95,midcap,realty
14th May'26,SANOFICONR,,9.3,,,,Tiger breakouts,3.23,midcap,healthcare
14th May'26,CONSOFINVT,,-1.76,,,,Tiger breakouts,3.06,smallcap,financials
14th May'26,BAIDFIN,,2.06,,,,Tiger breakouts,2.29,smallcap,financials
14th May'26,JSWSTEEL,,1.73,,,,Tiger breakouts,2.17,largecap,metals & mining
