symbol,volume_conviction,accumulation_pattern,sector_strength,institutional_score,multibagger_bonus,delivery_pct,fii_holding,dii_holding,volume_trend,price_momentum,block_buying_detected,sustained_volume,price_tightening,volume_distribution,total_score,signal,close
CCL,52.0,15,10,8,0,0.0,11.24,21.43,Rising,9.574964969640366,False,False,False,96.8977642394565,70.83333333333334,Buy,1173.0
BCLIND,52.0,18,10,1,0,0.0,0.43,0.0,Rising,14.400493694432859,False,False,False,88.71231072159489,67.5,Buy,37.02000045776367
FORTIS,18.0,18,10,8,6,0.0,25.98,31.35,Rising,6.423493609171427,False,False,True,70.56076861649215,50.0,Watch,989.0999755859375
ASTERDM,12.0,18,10,8,6,0.0,17.18,27.57,Rising,5.392394463000194,False,False,True,78.92879891372436,45.0,Avoid,766.1500244140625
ZYDUSWELL,12.0,18,10,6,6,0.0,3.17,18.87,Rising,5.162718528976673,False,False,True,82.14296172655129,43.333333333333336,Avoid,523.5
KIMS,12.0,15,10,8,6,0.0,14.57,32.5,Rising,7.341905948621541,False,False,True,83.0015480164077,42.5,Avoid,801.2000122070312
IPCALAB,14.0,18,10,3,6,0.0,10.63,0.0,Rising,9.398426598876641,False,False,True,64.04100768445797,42.5,Avoid,1649.4000244140625
BALRAMCHIN,8.0,18,10,8,6,0.0,10.43,27.67,Rising,2.4190545979550615,False,False,True,62.41208163711768,41.66666666666667,Avoid,550.4000244140625
EQUITASBNK,12.0,18,10,8,0,0.0,14.74,50.87,Rising,7.267774569334584,False,False,False,92.6587527774318,40.0,Avoid,74.83000183105469
DLINKINDIA,12.0,18,10,1,6,0.0,1.26,0.01,Rising,3.0921355481195345,False,False,True,72.6764907333603,39.166666666666664,Avoid,490.1000061035156
