Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
18th May'26,ADANIENSOL,largecap,1.89,56.26,60.12,power & utilities,Screener 1,,,
18th May'26,JAYNECOIND,midcap,0.711,55.85,69.06,metals & mining,Screener 1,,,
18th May'26,GVT&D,largecap,1.94,55.61,81.67,industrials,Screener 1,,,
18th May'26,GLENMARK,largecap,0.602,55.55,70.66,healthcare,Screener 1,,,
18th May'26,TEAMGTY,,6.08,,,,Tiger breakouts,14.5,smallcap,financials
18th May'26,MUKANDLTD,,5.62,,,,Tiger breakouts,13.29,smallcap,metals & mining
18th May'26,GESHIP,,10.6,,,,Tiger breakouts,12.27,largecap,transportation
18th May'26,TIIL,,7.19,,,,Tiger breakouts,6.52,midcap,metals & mining
18th May'26,MONARCH,,5.16,,,,Tiger breakouts,5.34,smallcap,financials
18th May'26,CONSOFINVT,,0.937,,,,Tiger breakouts,3.97,smallcap,financials
18th May'26,RELIABLE,,0.899,,,,Tiger breakouts,3.34,smallcap,i.t
18th May'26,STYRENIX,,-2.56,,,,Tiger breakouts,2.87,smallcap,energy
18th May'26,IMPAL,,3.49,,,,Tiger breakouts,2.68,smallcap,auto
18th May'26,MCL,,-2.66,,,,Tiger breakouts,2.48,smallcap,metals & mining
18th May'26,MAHESHWARI,,2.37,,,,Tiger breakouts,2.36,smallcap,services
18th May'26,GRMOVER,,-0.738,,,,Tiger breakouts,2.12,smallcap,fmcg
