Date,Symbol,Price,% change,Roc 10days,Rsi 14,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
20th Aug'26 3:20:00,MANGLMCEM,981.85,9.73,4.32,64.13,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,ARVIND,539.0,4.36,-1.3,50.19,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,ABCAPITAL,409.0,3.28,-2.97,53.9,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,ARMANFIN,1973.1,2.15,-2.87,54.66,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,NYKAA,330.35,0.916,-0.482,54.73,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,MAHESHWARI,73.02,0.856,0.027,56.73,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,PAISALO,69.95,0.836,1.41,53.61,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,ATALREAL,33.45,0.814,-3.44,51.85,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,ABB,7479.0,0.659,-3.31,50.44,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,ARIHANT,1035.4,0.573,-8.4,51.96,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,EMCURE,1881.4,-0.508,-2.86,45.63,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,CENTENKA,567.0,-0.509,-5.92,45.0,M Swing scan,,,,,,,,
20th Aug'26 3:20:00,SIGMAADV,664.45,-3.89,-3.99,56.43,M Swing scan,,,,,,,,
20th Aug'26 3:29:00,STYL,,,3.35,57.95,RSI 5 SWING TRADE STRATEGY,5.76,15.95,65.52,,,,,
20th Aug'26 3:29:00,ARVIND,,,-1.3,50.19,RSI 5 SWING TRADE STRATEGY,4.36,5.03,63.19,,,,,
20th Aug'26 3:29:00,RELTD,,,-2.02,50.27,RSI 5 SWING TRADE STRATEGY,4.15,-0.756,57.99,,,,,
20th Aug'26 3:29:00,ABCAPITAL,,,-2.97,53.9,RSI 5 SWING TRADE STRATEGY,3.28,1.16,66.98,,,,,
20th Aug'26 3:29:00,SANATHAN,,,-2.83,47.79,RSI 5 SWING TRADE STRATEGY,3.0,-2.88,55.82,,,,,
20th Aug'26 3:29:00,NITIRAJ,,,-3.24,46.78,RSI 5 SWING TRADE STRATEGY,2.59,-5.27,51.41,,,,,
20th Aug'26 3:29:00,HUHTAMAKI,,,-5.29,52.51,RSI 5 SWING TRADE STRATEGY,2.44,-7.9,64.95,,,,,
