Date,Symbol,Price,% change,Roc 10days,Rsi 14,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
29th Jul'26,COMSYN,207.92,15.99,8.69,63.67,M Swing scan,,,,,,,,
29th Jul'26,MUFIN,130.1,4.95,0.65,55.67,M Swing scan,,,,,,,,
29th Jul'26,GLAND,2543.7,4.75,3.19,62.61,M Swing scan,,,,,,,,
29th Jul'26,CENTUM,3578.5,3.55,-2.03,49.84,M Swing scan,,,,,,,,
29th Jul'26,ACMESOLAR,366.65,3.14,-6.5,50.73,M Swing scan,,,,,,,,
29th Jul'26,AVALON,1677.3,2.27,-0.149,47.56,M Swing scan,,,,,,,,
29th Jul'26,ZYDUSLIFE,1122.7,2.14,-2.96,51.78,M Swing scan,,,,,,,,
29th Jul'26,RBLBANK,371.15,1.71,-0.443,55.04,M Swing scan,,,,,,,,
29th Jul'26,AMBIKCO,1703.0,1.53,-2.73,49.99,M Swing scan,,,,,,,,
29th Jul'26,VENUSPIPES,1685.9,1.47,-4.63,50.4,M Swing scan,,,,,,,,
29th Jul'26,ALIVUS,1119.6,1.35,-4.18,49.49,M Swing scan,,,,,,,,
29th Jul'26,BALAMINES,2271.4,1.33,-1.85,53.17,M Swing scan,,,,,,,,
29th Jul'26,INNOVACAP,968.65,1.19,-2.3,52.12,M Swing scan,,,,,,,,
29th Jul'26,NEOGEN,2048.3,1.19,-9.85,49.77,M Swing scan,,,,,,,,
29th Jul'26,ARVIND,517.35,1.17,-4.37,46.66,M Swing scan,,,,,,,,
29th Jul'26,CAPLIPOINT,2613.2,0.962,-1.32,57.21,M Swing scan,,,,,,,,
29th Jul'26,VIJAYA,1372.0,0.949,-1.25,55.89,M Swing scan,,,,,,,,
29th Jul'26,AIAENG,4643.5,0.88,-3.83,49.39,M Swing scan,,,,,,,,
29th Jul'26,CCL,1198.6,0.875,-2.0,55.31,M Swing scan,,,,,,,,
29th Jul'26,TALBROAUTO,398.1,0.874,1.05,52.6,M Swing scan,,,,,,,,
29th Jul'26,ADANIENT,3024.5,0.739,-4.0,46.25,M Swing scan,,,,,,,,
29th Jul'26,ASTERDM,818.35,0.596,-0.758,58.81,M Swing scan,,,,,,,,
29th Jul'26,TEXINFRA,114.89,0.419,0.763,65.43,M Swing scan,,,,,,,,
29th Jul'26,SAKAR,850.0,0.366,-7.3,52.5,M Swing scan,,,,,,,,
29th Jul'26,GRANULES,841.85,-0.42,-6.26,50.15,M Swing scan,,,,,,,,
29th Jul'26,KIRLOSENG,2180.9,-0.515,-9.66,46.75,M Swing scan,,,,,,,,
29th Jul'26,IPCALAB,1774.5,-0.81,-5.51,53.32,M Swing scan,,,,,,,,
29th Jul'26,SMLMAH,,,10.22,67.27,RSI 5 SWING TRADE STRATEGY,20.0,11.42,60.55,,,,,
29th Jul'26,MUFIN,,,0.65,55.67,RSI 5 SWING TRADE STRATEGY,4.95,-2.81,60.55,,,,,
29th Jul'26,HARRMALAYA,,,-0.329,55.22,RSI 5 SWING TRADE STRATEGY,4.54,9.35,59.02,,,,,
29th Jul'26,ACMESOLAR,,,-6.5,50.73,RSI 5 SWING TRADE STRATEGY,3.14,-3.65,64.72,,,,,
29th Jul'26,SUNDRMBRAK,,,-5.49,50.66,RSI 5 SWING TRADE STRATEGY,2.41,-3.82,61.99,,,,,
29th Jul'26,PANACHE,,,-4.42,49.76,RSI 5 SWING TRADE STRATEGY,2.3,-2.83,60.16,,,,,
29th Jul'26,AVALON,,,-0.149,47.56,RSI 5 SWING TRADE STRATEGY,2.27,-6.91,67.92,,,,,
29th Jul'26,RPPL,,,-7.46,47.49,RSI 5 SWING TRADE STRATEGY,2.26,-3.65,57.84,,,,,
29th Jul'26,STYL,,,-12.38,49.94,RSI 5 SWING TRADE STRATEGY,2.18,13.2,59.31,,,,,
29th Jul'26,ZYDUSLIFE,,,-2.96,51.78,RSI 5 SWING TRADE STRATEGY,2.14,0.908,65.12,,,,,
29th Jul'26,RAYMOND,,,-3.41,48.04,RSI 5 SWING TRADE STRATEGY,2.03,1.15,60.53,,,,,
29th Jul'26,AMANTA,,,-3.83,49.28,RSI 5 SWING TRADE STRATEGY,2.0,0.733,64.12,,,,,
29th Jul'26,PACEDIGITK,,,-4.92,47.25,RSI 5 SWING TRADE STRATEGY,1.89,-2.59,52.62,,,,,
