Date,Symbol,Price,% change,Roc 10days,Rsi 14,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
14th Aug'26 3:29:00,NITINSPIN,552.95,3.96,1.61,50.87,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,GANESHBE,117.65,3.63,4.74,56.29,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,INDOTECH,3558.1,3.28,3.02,55.55,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,UNIVPHOTO,472.6,3.23,-0.505,58.6,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,ASTRAMICRO,1739.3,2.26,-6.57,49.88,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,NOVARTIND,1582.5,2.21,2.95,51.25,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,SHYAMMETL,999.6,2.14,-3.07,48.3,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,ADANIENSOL,1616.0,2.08,-1.79,47.43,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,PREMIERPOL,73.55,1.48,5.4,55.18,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,AEGISLOG,1265.4,1.48,-1.2,48.22,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,MUNJALAU,120.53,0.972,18.94,73.36,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,OMAXE,99.14,0.783,15.06,66.94,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,SGFIN,662.05,0.661,-2.96,49.47,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,SANGAMIND,601.0,0.443,-1.46,52.94,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,HIRECT,1256.0,0.215,-6.15,50.95,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,CONSOFINVT,270.0,-0.753,-9.47,44.85,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,WELINV,1848.0,-1.44,-1.7,51.35,M Swing scan,,,,,,,,
14th Aug'26 3:29:00,NITINSPIN,,,1.61,50.87,RSI 5 SWING TRADE STRATEGY,3.96,1.61,65.0,,,,,
14th Aug'26 3:29:00,KAMDHENU,,,1.31,56.71,RSI 5 SWING TRADE STRATEGY,3.92,1.31,67.1,,,,,
14th Aug'26 3:29:00,INDOTECH,,,3.02,55.55,RSI 5 SWING TRADE STRATEGY,3.28,3.02,71.45,,,,,
14th Aug'26 3:29:00,NOVARTIND,,,2.95,51.25,RSI 5 SWING TRADE STRATEGY,2.21,2.95,69.51,,,,,
14th Aug'26 3:29:00,SHYAMMETL,,,-3.07,48.3,RSI 5 SWING TRADE STRATEGY,2.14,-3.07,60.19,,,,,
14th Aug'26 3:29:00,ADANIENSOL,,,-1.79,47.43,RSI 5 SWING TRADE STRATEGY,2.08,-1.79,66.1,,,,,
14th Aug'26 3:29:00,AEGISLOG,,,-1.2,48.22,RSI 5 SWING TRADE STRATEGY,1.48,-1.2,66.7,,,,,
14th Aug'26 3:29:00,LLOYDSENT,,,-4.34,44.97,RSI 5 SWING TRADE STRATEGY,0.592,-4.34,57.28,,,,,
14th Aug'26 3:29:00,MANORAMA,,,,,Turtle strategy,,,,midcap,7.62,64.21,67.47,fmcg
14th Aug'26 3:29:00,DREDGECORP,,,,,Turtle strategy,,,,smallcap,9.58,62.94,60.92,miscellaneous
14th Aug'26 3:29:00,STEL,,,,,Turtle strategy,,,,smallcap,3.71,60.58,64.54,financials
14th Aug'26 3:29:00,MONARCH,,,,,Turtle strategy,,,,smallcap,2.97,60.49,62.92,financials
14th Aug'26 3:29:00,OFSS,,,,,Turtle strategy,,,,largecap,3.57,59.68,67.56,i.t
14th Aug'26 3:29:00,SUVEN,,,,,Turtle strategy,,,,smallcap,4.87,59.54,72.88,healthcare
14th Aug'26 3:29:00,MINDACORP,,,,,Turtle strategy,,,,midcap,1.12,56.29,71.16,auto
14th Aug'26 3:29:00,MEDANTA,,,,,Turtle strategy,,,,largecap,0.865,55.82,62.82,healthcare
14th Aug'26 3:29:00,INDOTECH,,,,,Turtle strategy,,,,smallcap,3.28,55.55,69.66,industrials
