Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
18th Jun'26,GRANULES,midcap,5.49,60.94,71.91,healthcare,Screener 1,,,
18th Jun'26,BHEL,largecap,3.48,59.46,70.24,industrials,Screener 1,,,
18th Jun'26,ASTERDM,largecap,2.94,59.08,72.85,healthcare,Screener 1,,,
18th Jun'26,YATHARTH,midcap,2.89,59.0,63.53,healthcare,Screener 1,,,
18th Jun'26,VIYASH,midcap,3.89,58.36,63.03,healthcare,Screener 1,,,
18th Jun'26,ACUTAAS,largecap,4.55,58.01,87.98,healthcare,Screener 1,,,
18th Jun'26,AHLWEST,smallcap,5.0,57.75,76.73,services,Screener 1,,,
18th Jun'26,KRISHANA,smallcap,1.22,57.45,74.55,chemicals,Screener 1,,,
18th Jun'26,ROSSTECH,smallcap,2.15,56.73,70.33,aerospace & defence,Screener 1,,,
18th Jun'26,DREDGECORP,smallcap,1.46,56.44,60.58,miscellaneous,Screener 1,,,
18th Jun'26,IOLCP,smallcap,2.56,56.26,65.69,healthcare,Screener 1,,,
18th Jun'26,ADANIPOWER,largecap,4.61,56.18,75.64,power & utilities,Screener 1,,,
18th Jun'26,EMCURE,largecap,1.59,56.1,64.26,healthcare,Screener 1,,,
18th Jun'26,GOODLUCK,smallcap,0.311,55.53,62.9,metals & mining,Screener 1,,,
18th Jun'26,BGRENERGY,smallcap,0.96,55.53,62.41,realty,Screener 1,,,
18th Jun'26,TDPOWERSYS,midcap,3.13,55.51,80.63,industrials,Screener 1,,,
18th Jun'26,KIRLFER,,6.62,,,,Tiger breakouts,48.48,midcap,metals & mining
18th Jun'26,NITCO,,11.48,,,,Tiger breakouts,27.01,smallcap,building materials
18th Jun'26,GANDHAR,,11.5,,,,Tiger breakouts,23.85,smallcap,energy
18th Jun'26,GEECEE,,3.82,,,,Tiger breakouts,8.61,smallcap,financials
18th Jun'26,GOKEX,,7.43,,,,Tiger breakouts,7.16,midcap,consumer discretionary
18th Jun'26,RADICO,,3.3,,,,Tiger breakouts,6.16,largecap,fmcg
18th Jun'26,FLUOROCHEM,,4.4,,,,Tiger breakouts,6.14,largecap,chemicals
18th Jun'26,SANOFICONR,,4.11,,,,Tiger breakouts,5.56,midcap,healthcare
18th Jun'26,NIVABUPA,,2.82,,,,Tiger breakouts,5.41,midcap,financials
18th Jun'26,RATNAVEER,,3.29,,,,Tiger breakouts,5.37,smallcap,metals & mining
18th Jun'26,GPTINFRA,,5.43,,,,Tiger breakouts,5.17,smallcap,realty
18th Jun'26,GLOSTERLTD,,1.26,,,,Tiger breakouts,4.32,smallcap,textiles
18th Jun'26,MAZDA,,1.8,,,,Tiger breakouts,4.27,smallcap,industrials
18th Jun'26,VTL,,5.63,,,,Tiger breakouts,4.08,midcap,textiles
18th Jun'26,OLECTRA,,6.77,,,,Tiger breakouts,3.88,midcap,auto
18th Jun'26,LICI,,2.83,,,,Tiger breakouts,3.61,largecap,financials
18th Jun'26,BANKA,,3.26,,,,Tiger breakouts,3.27,smallcap,miscellaneous
18th Jun'26,ZFCVINDIA,,3.1,,,,Tiger breakouts,3.22,largecap,auto
18th Jun'26,AVANTEL,,2.85,,,,Tiger breakouts,3.19,smallcap,aerospace & defence
18th Jun'26,WELENT,,3.76,,,,Tiger breakouts,3.19,midcap,realty
18th Jun'26,MAXHEALTH,,6.27,,,,Tiger breakouts,3.18,largecap,healthcare
18th Jun'26,LLOYDSENT,,1.68,,,,Tiger breakouts,3.0,midcap,services
18th Jun'26,SHYAMMETL,,2.05,,,,Tiger breakouts,2.98,largecap,metals & mining
18th Jun'26,IL&FSENGG,,4.51,,,,Tiger breakouts,2.83,smallcap,realty
18th Jun'26,KAPSTON,,1.58,,,,Tiger breakouts,2.63,smallcap,miscellaneous
18th Jun'26,SPAL,,10.83,,,,Tiger breakouts,2.62,smallcap,consumer discretionary
18th Jun'26,ITI,,1.62,,,,Tiger breakouts,2.61,largecap,aerospace & defence
18th Jun'26,PTL,,0.648,,,,Tiger breakouts,2.38,smallcap,miscellaneous
18th Jun'26,CAMS,,3.17,,,,Tiger breakouts,2.32,largecap,financials
18th Jun'26,PGIL,,5.05,,,,Tiger breakouts,2.28,midcap,consumer discretionary
18th Jun'26,VENUSPIPES,,3.53,,,,Tiger breakouts,1.96,smallcap,metals & mining
