Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
9th Sep'26 3:29:00,MONQ50,213.01,8.81,45.48,88.71,161.72,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,RBA,100.5,5.19,-1.82,59.88,97.91,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,QUESS,355.0,5.19,-4.24,55.31,361.74,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,GULFPETRO,67.21,4.01,-1.74,64.8,66.56,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,KANPRPLA,251.4,3.84,-4.51,52.78,252.93,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,RKFORGE,720.7,2.77,-1.54,53.43,722.41,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,FLUOROCHEM,4754.8,1.67,0.48,58.79,4671.48,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,SHRIPISTON,4500.8,1.41,-2.37,51.24,4540.81,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,UNIVCABLES,1543.6,1.24,-2.22,49.23,1584.97,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,SMARTLINK,209.47,1.05,-6.57,45.26,211.8,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,TIIL,3170.2,0.93,-6.39,56.03,3218.82,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,SIGIND,70.52,0.916,-0.704,57.94,70.14,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,AKUMS,741.1,0.611,-3.26,50.25,763.08,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,LALPATHLAB,1919.7,0.377,-0.908,56.1,1911.49,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,TITAN,5005.0,0.361,-1.86,50.81,5032.55,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,MMFL,616.95,0.179,-1.84,49.79,634.8,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,ROLEXRINGS,175.47,-0.029,-4.87,55.7,175.69,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,SIEMENS,3949.1,-0.056,-2.32,50.17,3989.16,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,MOTHERSON,163.7,-0.092,-0.788,52.5,163.98,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,MIDSELIETF,19.78,-0.553,-1.88,47.3,19.9,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,NRBBEARING,484.55,-1.03,2.3,59.44,467.61,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,SENORES,1488.6,-1.4,-0.408,55.54,1461.46,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,RADICO,4414.0,-1.58,-4.33,44.14,4478.94,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,TI,530.9,-1.75,-5.35,47.91,542.87,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,EMIL,182.65,-1.81,-1.02,60.0,178.69,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,LMW,18032.0,-3.07,-6.1,44.65,18715.25,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,NEULANDLAB,23195.0,-3.33,-1.49,57.48,23075.63,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,DALMIASUG,433.0,-3.85,-10.0,46.94,454.91,M Swing scan,,,,,,,,
9th Sep'26 3:29:00,IFGLEXPOR,214.65,,-0.167,53.42,206.88,RSI 5 SWING TRADE STRATEGY,8.29,2.03,54.43,,,,,
9th Sep'26 3:29:00,QUESS,355.0,,-4.24,55.31,361.74,RSI 5 SWING TRADE STRATEGY,5.19,-7.01,71.55,,,,,
9th Sep'26 3:29:00,GULFPETRO,67.21,,-1.74,64.8,66.56,RSI 5 SWING TRADE STRATEGY,4.01,-0.606,79.25,,,,,
9th Sep'26 3:29:00,KANPRPLA,251.4,,-4.51,52.78,252.93,RSI 5 SWING TRADE STRATEGY,3.84,-6.09,62.9,,,,,
9th Sep'26 3:29:00,SHRIPISTON,4500.8,,-2.37,51.24,4540.81,RSI 5 SWING TRADE STRATEGY,1.41,-2.35,71.05,,,,,
9th Sep'26 3:29:00,SMARTLINK,209.47,,-6.57,45.26,211.8,RSI 5 SWING TRADE STRATEGY,1.05,-3.26,64.51,,,,,
