Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
25th May'26,KERNEX,smallcap,8.33,63.93,62.11,consumer discretionary,Screener 1,,,
25th May'26,KAPSTON,smallcap,3.99,62.75,88.42,miscellaneous,Screener 1,,,
25th May'26,ROSSTECH,smallcap,10.31,61.48,70.31,aerospace & defence,Screener 1,,,
25th May'26,FIEMIND,midcap,2.3,59.54,66.87,auto,Screener 1,,,
25th May'26,USHAMART,midcap,1.76,58.85,61.57,metals & mining,Screener 1,,,
25th May'26,DATAPATTNS,largecap,3.18,58.42,68.45,aerospace & defence,Screener 1,,,
25th May'26,KIRLOSENG,largecap,1.9,57.47,73.55,industrials,Screener 1,,,
25th May'26,AXISCADES,midcap,2.54,57.46,73.81,aerospace & defence,Screener 1,,,
25th May'26,KANPRPLA,smallcap,1.74,57.09,61.28,industrials,Screener 1,,,
25th May'26,BHARATFORG,largecap,1.09,55.05,66.24,industrials,Screener 1,,,
25th May'26,HEALTHX,,11.56,,,,Tiger breakouts,11.42,smallcap,financials
25th May'26,NH,,4.55,,,,Tiger breakouts,4.44,largecap,healthcare
25th May'26,GAIL,,4.91,,,,Tiger breakouts,3.33,largecap,energy
25th May'26,TORNTPHARM,,1.93,,,,Tiger breakouts,3.22,largecap,healthcare
25th May'26,FEDFINA,,6.31,,,,Tiger breakouts,2.76,midcap,financials
25th May'26,CONSOFINVT,,2.05,,,,Tiger breakouts,2.62,smallcap,financials
25th May'26,JAGRAN,,1.18,,,,Tiger breakouts,2.48,smallcap,media
25th May'26,STARHEALTH,,0.535,,,,Tiger breakouts,2.4,largecap,financials
25th May'26,HNDFDS,,4.4,,,,Tiger breakouts,2.39,midcap,fmcg
25th May'26,SUPRAJIT,,1.67,,,,Tiger breakouts,2.31,midcap,auto
25th May'26,ACMESOLAR,,3.58,,,,Tiger breakouts,2.22,midcap,realty
