Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
29th Jun'26,ZYDUSWELL,midcap,9.91,69.26,67.75,fmcg,Screener 1,,,
29th Jun'26,LUPIN,largecap,2.81,66.98,70.37,healthcare,Screener 1,,,
29th Jun'26,GRANULES,midcap,4.0,60.7,72.55,healthcare,Screener 1,,,
29th Jun'26,NAM-INDIA,largecap,2.48,59.44,74.97,financials,Screener 1,,,
29th Jun'26,LLOYDSME,largecap,4.9,58.12,68.66,metals & mining,Screener 1,,,
29th Jun'26,BAJAJCON,midcap,3.23,57.62,81.28,fmcg,Screener 1,,,
29th Jun'26,POLYCAB,largecap,2.6,57.48,66.68,industrials,Screener 1,,,
29th Jun'26,YATHARTH,midcap,1.42,57.16,63.67,healthcare,Screener 1,,,
29th Jun'26,KRN,midcap,5.0,57.05,66.91,industrials,Screener 1,,,
29th Jun'26,SATIN,smallcap,2.1,56.97,65.09,financials,Screener 1,,,
29th Jun'26,HIRECT,smallcap,0.803,56.03,68.24,consumer discretionary,Screener 1,,,
29th Jun'26,MANINDS,smallcap,0.922,55.52,61.33,metals & mining,Screener 1,,,
29th Jun'26,CHENNPETRO,midcap,4.68,55.06,67.72,energy,Screener 1,,,
29th Jun'26,ZYDUSWELL,,9.91,,,,Tiger breakouts,37.57,midcap,fmcg
29th Jun'26,BANSALWIRE,,6.0,,,,Tiger breakouts,12.67,smallcap,metals & mining
29th Jun'26,GOODLUCK,,4.98,,,,Tiger breakouts,7.25,smallcap,metals & mining
29th Jun'26,RACLGEAR,,2.84,,,,Tiger breakouts,7.24,smallcap,auto
29th Jun'26,MOLDTKPAC,,2.65,,,,Tiger breakouts,5.15,smallcap,industrials
29th Jun'26,LTF,,0.017,,,,Tiger breakouts,5.03,largecap,financials
29th Jun'26,THERMAX,,6.14,,,,Tiger breakouts,5.01,largecap,industrials
29th Jun'26,TORNTPHARM,,3.13,,,,Tiger breakouts,4.79,largecap,healthcare
29th Jun'26,JBCHEPHARM,,2.64,,,,Tiger breakouts,4.39,largecap,healthcare
29th Jun'26,BHEL,,2.74,,,,Tiger breakouts,4.26,largecap,industrials
29th Jun'26,BLSE,,3.38,,,,Tiger breakouts,4.11,smallcap,i.t
29th Jun'26,ABB,,1.93,,,,Tiger breakouts,3.8,largecap,industrials
29th Jun'26,MARICO,,1.71,,,,Tiger breakouts,3.74,largecap,fmcg
29th Jun'26,JSWDULUX,,1.99,,,,Tiger breakouts,3.33,midcap,building materials
29th Jun'26,NHPC,,2.73,,,,Tiger breakouts,3.01,largecap,power & utilities
29th Jun'26,GMRAIRPORT,,0.904,,,,Tiger breakouts,2.98,largecap,miscellaneous
29th Jun'26,LUPIN,,2.81,,,,Tiger breakouts,2.89,largecap,healthcare
29th Jun'26,ELGIEQUIP,,0.704,,,,Tiger breakouts,2.77,midcap,industrials
29th Jun'26,SURANAT&P,,4.77,,,,Tiger breakouts,2.73,smallcap,industrials
29th Jun'26,SAILIFE,,2.18,,,,Tiger breakouts,2.62,largecap,healthcare
29th Jun'26,IPCALAB,,1.79,,,,Tiger breakouts,2.44,largecap,healthcare
29th Jun'26,JAGSNPHARM,,3.08,,,,Tiger breakouts,2.34,smallcap,healthcare
29th Jun'26,LLOYDSME,,4.9,,,,Tiger breakouts,2.31,largecap,metals & mining
