Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
12th May'26,ONGC,largecap,4.8,58.31,62.85,energy,Screener 1,,,
12th May'26,HINDALCO,largecap,1.75,56.75,71.5,metals & mining,Screener 1,,,
12th May'26,JINDRILL,,7.81,,,,Tiger breakouts,87.48,smallcap,energy
12th May'26,GANDHITUBE,,1.87,,,,Tiger breakouts,10.79,smallcap,metals & mining
12th May'26,KRYSTAL,,5.38,,,,Tiger breakouts,7.38,smallcap,miscellaneous
12th May'26,OIL,,7.66,,,,Tiger breakouts,5.74,largecap,energy
12th May'26,INSPIRISYS,,3.24,,,,Tiger breakouts,5.15,smallcap,i.t
12th May'26,PANACHE,,4.24,,,,Tiger breakouts,3.53,smallcap,i.t
12th May'26,ONGC,,4.8,,,,Tiger breakouts,2.83,largecap,energy
12th May'26,SPAL,,-2.36,,,,Tiger breakouts,2.5,smallcap,textiles
12th May'26,HINDCOPPER,,-1.52,,,,Tiger breakouts,2.48,largecap,metals & mining
12th May'26,JKPAPER,,-0.089,,,,Tiger breakouts,2.45,midcap,building materials
12th May'26,BIOCON,,3.07,,,,Tiger breakouts,2.39,largecap,healthcare
