Date,Symbol,Mcap,Change,Dpower,Mpower,Sector,Scanner_Source,Volume multiples,Marketcap,Sectors
15th Jul'26,HIRECT,smallcap,19.88,69.6,71.48,consumer discretionary,Screener 1,,,
15th Jul'26,KRN,midcap,5.0,61.64,67.58,industrials,Screener 1,,,
15th Jul'26,BHEL,largecap,3.48,60.43,72.11,industrials,Screener 1,,,
15th Jul'26,KOVAI,midcap,2.12,58.34,86.43,healthcare,Screener 1,,,
15th Jul'26,VISHNU,smallcap,2.2,58.18,64.43,chemicals,Screener 1,,,
15th Jul'26,CARYSIL,smallcap,3.21,58.15,64.55,consumer discretionary,Screener 1,,,
15th Jul'26,INOXINDIA,midcap,6.08,57.82,81.55,industrials,Screener 1,,,
15th Jul'26,HSCL,largecap,1.51,57.22,67.45,chemicals,Screener 1,,,
15th Jul'26,ZIMLAB,smallcap,2.0,57.21,60.46,healthcare,Screener 1,,,
15th Jul'26,E2E,smallcap,4.13,56.61,64.19,i.t,Screener 1,,,
15th Jul'26,PANAMAPET,smallcap,1.82,55.52,63.15,energy,Screener 1,,,
15th Jul'26,WELINV,smallcap,1.69,55.46,70.2,financials,Screener 1,,,
15th Jul'26,NAVINFLUOR,largecap,0.422,55.43,76.77,chemicals,Screener 1,,,
15th Jul'26,CENTUM,midcap,0.825,55.13,71.3,consumer discretionary,Screener 1,,,
15th Jul'26,APOLSINHOT,,14.1,,,,Tiger breakouts,106.93,smallcap,services
15th Jul'26,PAR,,11.94,,,,Tiger breakouts,78.97,smallcap,healthcare
15th Jul'26,CENTENKA,,3.79,,,,Tiger breakouts,68.87,smallcap,textiles
15th Jul'26,KSOLVES,,7.03,,,,Tiger breakouts,61.75,smallcap,i.t
15th Jul'26,HIRECT,,19.88,,,,Tiger breakouts,15.22,smallcap,consumer discretionary
15th Jul'26,FEDFINA,,5.62,,,,Tiger breakouts,14.49,midcap,financials
15th Jul'26,NAVKARCORP,,5.78,,,,Tiger breakouts,10.8,smallcap,transportation
15th Jul'26,ROLEXRINGS,,5.91,,,,Tiger breakouts,9.84,smallcap,auto
15th Jul'26,JUBLPHARMA,,5.54,,,,Tiger breakouts,7.82,midcap,healthcare
15th Jul'26,SONAMLTD,,3.73,,,,Tiger breakouts,7.69,smallcap,consumer discretionary
15th Jul'26,AARTIIND,,3.65,,,,Tiger breakouts,6.47,midcap,chemicals
15th Jul'26,FMGOETZE,,4.27,,,,Tiger breakouts,5.9,smallcap,auto
15th Jul'26,ASPINWALL,,3.97,,,,Tiger breakouts,5.68,smallcap,miscellaneous
15th Jul'26,MANKIND,,0.474,,,,Tiger breakouts,4.53,largecap,healthcare
15th Jul'26,AMBICAAGAR,,2.64,,,,Tiger breakouts,4.34,smallcap,chemicals
15th Jul'26,FLUOROCHEM,,5.29,,,,Tiger breakouts,4.12,largecap,chemicals
15th Jul'26,SANATHAN,,2.16,,,,Tiger breakouts,4.06,smallcap,textiles
15th Jul'26,SPLIL,,4.08,,,,Tiger breakouts,3.78,smallcap,textiles
15th Jul'26,CENTURYPLY,,1.78,,,,Tiger breakouts,3.46,midcap,building materials
15th Jul'26,BLKASHYAP,,3.24,,,,Tiger breakouts,3.39,smallcap,realty
15th Jul'26,IVC,,2.96,,,,Tiger breakouts,3.31,smallcap,financials
15th Jul'26,ENDURANCE,,2.43,,,,Tiger breakouts,2.78,largecap,auto
15th Jul'26,KRN,,5.0,,,,Tiger breakouts,2.7,midcap,industrials
15th Jul'26,METROPOLIS,,2.23,,,,Tiger breakouts,2.68,midcap,healthcare
15th Jul'26,BANDHANBNK,,4.16,,,,Tiger breakouts,2.66,largecap,bank
15th Jul'26,LLOYDSENT,,2.43,,,,Tiger breakouts,2.41,midcap,services
