Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
24th Sep'26 3:29:00,UNIDT,259.76,10.42,12.76,67.97,227.15,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,MAZDA,267.55,4.98,-1.53,58.27,256.95,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,PREMIERPOL,100.51,3.92,12.01,68.4,85.73,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,ARVIND,565.7,3.18,-0.893,55.31,547.36,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,HITECHCORP,331.55,-0.734,-1.18,51.34,329.89,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,KTKBANK,338.15,-1.43,2.08,60.29,323.64,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,CRAFTSMAN,10710.0,-1.78,-9.28,46.13,10929.5,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,NITINSPIN,605.55,-1.98,-7.02,46.52,618.72,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,BALRAMCHIN,659.4,-2.51,-5.81,46.77,671.06,M Swing scan,,,,,,,,
24th Sep'26 3:29:00,JAGSNPHARM,243.97,,3.65,62.42,228.98,RSI 5 SWING TRADE STRATEGY,8.13,1.3,63.17,,,,,
24th Sep'26 3:29:00,INDIAGLYCO,,,,,,Turtle strategy,,,,smallcap,18.74,65.55,73.49,fmcg
24th Sep'26 3:29:00,WINDLAS,,,,,,Turtle strategy,,,,smallcap,1.52,56.7,64.55,healthcare
24th Sep'26 3:29:00,SOTL,,,,,,Turtle strategy,,,,smallcap,1.52,56.32,72.32,energy
24th Sep'26 3:29:00,HEG,,,,,,Turtle strategy,,,,midcap,4.83,55.64,64.01,industrials
