Date,Symbol,Mcap,Change,Dpower,Mpower,Scanner_Source,Sector,Volume multiples,Marketcap,Sectors
5th May'26,OMAXAUTO,smallcap,20.0,89.59,65.86,Multiyear Breakout,,,,
5th May'26,CREDITACC,largecap,15.41,84.65,61.09,Multiyear Breakout,,,,
5th May'26,WELINV,smallcap,13.34,77.25,70.48,Multiyear Breakout,,,,
5th May'26,UNIVCABLES,smallcap,9.8,79.67,65.18,Multiyear Breakout,,,,
5th May'26,SUNFLAG,midcap,9.23,82.02,64.09,Multiyear Breakout,,,,
5th May'26,GOODLUCK,smallcap,5.7,74.93,63.29,Multiyear Breakout,,,,
5th May'26,RPTECH,smallcap,5.4,72.35,68.37,Multiyear Breakout,,,,
5th May'26,AEROFLEX,smallcap,5.19,65.74,71.61,Multiyear Breakout,,,,
5th May'26,STLTECH,midcap,4.99,78.42,81.14,Multiyear Breakout,,,,
5th May'26,SYRMA,midcap,3.91,74.01,74.4,Multiyear Breakout,,,,
5th May'26,AXISCADES,midcap,3.63,76.34,74.87,Multiyear Breakout,,,,
5th May'26,SCHNEIDER,largecap,3.38,82.2,71.47,Multiyear Breakout,,,,
5th May'26,CUPID,midcap,3.27,87.12,83.54,Multiyear Breakout,,,,
5th May'26,MBAPL,smallcap,2.84,67.9,76.68,Multiyear Breakout,,,,
5th May'26,VTL,midcap,1.59,79.11,69.83,Multiyear Breakout,,,,
5th May'26,NESTLEIND,largecap,1.42,80.86,64.16,Multiyear Breakout,,,,
5th May'26,ADANIPOWER,largecap,1.17,85.13,79.77,Multiyear Breakout,,,,
5th May'26,CCL,midcap,0.53,65.93,74.28,Multiyear Breakout,,,,
5th May'26,BSE,largecap,0.402,75.46,76.47,Multiyear Breakout,,,,
5th May'26,PRECWIRE,midcap,-0.185,77.16,81.27,Multiyear Breakout,,,,
5th May'26,LAURUSLABS,largecap,-0.197,64.12,71.59,Multiyear Breakout,,,,
5th May'26,GOKULAGRO,midcap,-0.701,73.86,69.51,Multiyear Breakout,,,,
5th May'26,ACUTAAS,largecap,-0.736,66.07,84.71,Multiyear Breakout,,,,
5th May'26,LLOYDSME,largecap,-0.762,81.81,68.26,Multiyear Breakout,,,,
5th May'26,GVPIL,smallcap,-0.993,79.36,67.53,Multiyear Breakout,,,,
5th May'26,ADANIPORTS,largecap,-1.01,74.41,64.68,Multiyear Breakout,,,,
5th May'26,ESABINDIA,midcap,-1.23,80.44,65.44,Multiyear Breakout,,,,
5th May'26,JAYNECOIND,midcap,-2.13,75.64,73.12,Multiyear Breakout,,,,
5th May'26,AUROPHARMA,largecap,3.79,64.05,64.44,Screener 1,healthcare,,,
5th May'26,NGLFINE,smallcap,9.78,62.79,63.83,Screener 1,healthcare,,,
5th May'26,KRISHANA,smallcap,3.73,58.48,72.05,Screener 1,chemicals,,,
5th May'26,BHARATFORG,largecap,1.13,55.84,64.93,Screener 1,industrials,,,
5th May'26,STEELCAS,smallcap,0.857,55.01,68.68,Screener 1,industrials,,,
5th May'26,PKTEA,,5.18,,,Weekly Breakout,,20.83,smallcap,fmcg
5th May'26,CAMS,,9.11,,,Weekly Breakout,,10.56,midcap,financials
5th May'26,DWARKESH,,6.48,,,Weekly Breakout,,4.5,smallcap,fmcg
5th May'26,ARMANFIN,,11.6,,,Weekly Breakout,,4.22,smallcap,financials
5th May'26,MARICO,,2.89,,,Weekly Breakout,,3.8,largecap,fmcg
5th May'26,SALONA,,2.01,,,Weekly Breakout,,3.64,smallcap,textiles
5th May'26,ABCAPITAL,,4.34,,,Weekly Breakout,,3.02,largecap,financials
5th May'26,NGLFINE,,9.78,,,Weekly Breakout,,2.93,smallcap,healthcare
5th May'26,PONNIERODE,,3.98,,,Weekly Breakout,,2.8,smallcap,fmcg
5th May'26,LAURUSLABS,,-0.197,,,Weekly Breakout,,2.58,largecap,healthcare
5th May'26,NARMADA,,2.91,,,Weekly Breakout,,2.12,smallcap,fmcg
