symbol,volume_conviction,accumulation_pattern,sector_strength,institutional_score,multibagger_bonus,delivery_pct,fii_holding,dii_holding,volume_trend,price_momentum,block_buying_detected,sustained_volume,price_tightening,volume_distribution,total_score,signal,close
GNFC,52.0,18,10,6,6,0.0,13.11,11.02,Rising,9.119506299401948,False,False,True,80.7638245287156,76.66666666666667,Strong Buy,589.9000244140625
JSWINFRA,52.0,18,10,6,6,0.0,11.21,9.19,Rising,7.288629601085583,False,False,True,88.05715428762095,76.66666666666667,Strong Buy,349.6000061035156
ASHIANA,52.0,18,10,5,0,0.0,8.19,8.08,Rising,18.61655309527599,False,False,False,87.82800822708695,70.83333333333334,Buy,405.54998779296875
ARVEE,52.0,18,10,1,0,0.0,0.0,0.0,Declining,23.88492737594994,False,False,False,89.09565929050332,67.5,Buy,208.8699951171875
BHEL,8.0,18,10,8,12,0.0,9.52,22.35,Rising,4.977591737716036,False,True,True,60.19859555481079,46.666666666666664,Avoid,433.3999938964844
ANTHEM,24.0,9,10,5,6,0.0,2.57,13.48,Rising,-2.693955988397978,False,False,True,65.04055534836455,45.0,Avoid,917.4500122070312
NYKAA,6.0,12,10,8,12,0.0,13.73,24.08,Stable,-0.05949202848573032,False,True,True,58.68853672299728,40.0,Avoid,336.0
TORNTPHARM,4.0,18,10,8,6,0.0,17.97,12.77,Rising,2.4742268041237025,False,False,True,40.684789661103906,38.333333333333336,Avoid,4970.0
MARKSANS,12.0,18,10,6,0,0.0,17.47,6.19,Stable,8.0709603667533,False,False,False,70.89359144084992,38.333333333333336,Avoid,338.1000061035156
RKFORGE,6.0,18,10,6,6,0.0,20.43,0.0,Stable,4.112174846119476,False,True,False,58.15335622232174,38.333333333333336,Avoid,716.5
SONACOMS,10.0,12,10,8,6,0.0,23.61,41.6,Rising,0.66455696202532,False,False,True,65.53755771091733,38.333333333333336,Avoid,795.25
NAZARA,8.0,15,10,5,6,0.0,15.51,2.47,Rising,2.7560174235393253,False,False,True,64.57494923072794,36.666666666666664,Avoid,367.25
NAVINFLUOR,8.0,12,10,8,6,0.0,23.73,28.46,Stable,3.141711229946531,False,False,True,63.89693543699787,36.666666666666664,Avoid,8486.5
VMART,4.0,15,10,8,6,0.0,16.47,30.9,Rising,2.3991913392126696,False,False,True,36.06681265484108,35.833333333333336,Avoid,808.7999877929688
GLAND,4.0,15,10,8,6,0.0,8.74,30.44,Stable,1.5437731366560126,False,False,True,47.72127327429709,35.833333333333336,Avoid,2940.199951171875
INDGN,4.0,18,10,5,6,0.0,9.92,8.74,Stable,4.2782173590605765,False,False,True,45.25150399264132,35.833333333333336,Avoid,595.9500122070312
VIJAYA,4.0,15,10,8,6,0.0,11.65,31.61,Stable,7.93507860779723,False,False,True,41.91093146408903,35.833333333333336,Avoid,1556.0999755859375
SHRIPISTON,8.0,18,10,6,0,0.0,8.39,16.0,Rising,5.456806340872489,False,False,False,60.78231485783234,35.0,Avoid,4508.7001953125
ENGINERSIN,8.0,18,10,6,0,0.0,9.17,14.22,Rising,8.68736396742218,False,False,False,62.42525505139549,35.0,Avoid,285.25
KINGFA,6.0,15,10,5,6,0.0,7.74,8.79,Stable,5.715583912194333,False,False,True,59.20783418709752,35.0,Avoid,6062.0
KDDL,4.0,18,10,3,6,0.0,7.98,2.16,Stable,6.663118563240378,False,False,True,54.70737298551364,34.166666666666664,Avoid,4006.800048828125
SOTL,10.0,18,10,3,0,0.0,1.02,13.18,Declining,5.288395330469053,False,False,False,66.77928948885878,34.166666666666664,Avoid,724.7000122070312
QUESS,4.0,18,10,6,0,0.0,8.58,11.86,Rising,6.138555868264328,False,False,False,50.65472571259355,31.666666666666664,Avoid,363.1000061035156
TARSONS,12.0,15,10,1,0,0.0,0.15,0.1,Rising,12.584527351008724,False,False,False,86.9793442655329,31.666666666666664,Avoid,341.29998779296875
PNBHOUSING,4.0,9,10,8,6,0.0,16.81,45.71,Rising,-0.34061348594431884,False,False,True,32.85887402622068,30.833333333333336,Avoid,1141.0999755859375
FLUOROCHEM,4.0,12,10,5,6,0.0,4.41,13.33,Rising,-0.8319435043822931,False,False,True,48.32148904938403,30.833333333333336,Avoid,4560.0
OIL,4.0,9,10,8,6,0.0,7.28,20.13,Declining,-1.4929983337880204,False,False,True,47.86445815005857,30.833333333333336,Avoid,478.3500061035156
SMALLCAP,4.0,15,10,1,6,0.0,0.0,0.0,Rising,2.554441506655314,False,False,True,27.670299688773277,30.0,Avoid,48.97999954223633
SML100CASE,4.0,15,10,1,6,0.0,0.0,0.0,Rising,2.0814437852152867,False,False,True,17.650962862284914,30.0,Avoid,11.279999732971191
VISAKAIND,4.0,18,10,1,0,0.0,0.03,0.02,Rising,7.85576675974522,False,False,False,51.99862888414813,27.500000000000004,Avoid,95.41999816894531
SCPL,8.0,8,10,1,6,0.0,0.02,0.1,Declining,2.6963327950954685,False,False,True,60.785217761384594,27.500000000000004,Avoid,653.2000122070312
PRECWIRE,6.0,15,10,1,0,0.0,2.47,0.15,Rising,7.646864071700388,False,False,False,57.09990250791197,26.666666666666668,Avoid,473.70001220703125
MARINE,4.0,15,10,1,0,0.0,1.12,0.41,Rising,10.364960263561706,False,False,False,47.232697468960744,25.0,Avoid,415.79998779296875
UNIPARTS,4.0,9,10,1,6,0.0,3.38,4.94,Stable,-1.2533252244541937,False,False,True,26.01298291541237,25.0,Avoid,854.8499755859375
AVTNPL,6.0,12,10,1,0,0.0,0.03,0.02,Stable,4.406311625564463,False,False,False,55.71746285757487,24.166666666666668,Avoid,90.04000091552734
AZAD,4.0,9,10,6,0,0.0,13.3,10.32,Rising,2.2181966862437674,False,False,False,43.497178774283476,24.166666666666668,Avoid,2764.89990234375
KMEW,4.0,9,10,5,0,0.0,12.64,3.9,Rising,5.434898456097792,False,False,False,20.140851033486936,23.333333333333332,Avoid,2878.89990234375
AYMSYNTEX,8.0,9,10,1,0,0.0,3.62,0.48,Stable,7.153474382529379,False,False,False,64.01148774413886,23.333333333333332,Avoid,288.3500061035156
HEG,4.0,9,10,5,0,0.0,5.29,12.77,Stable,10.272905821822032,False,False,False,44.482188439833,23.333333333333332,Avoid,248.5
ENTERO,4.0,9,10,5,0,0.0,4.36,15.48,Rising,-0.36623803758676354,False,False,False,31.991757601992312,23.333333333333332,Avoid,1795.5
NITINSPIN,4.0,9,10,5,0,0.0,1.92,14.68,Declining,-5.0299363123815555,False,False,False,43.43683624285442,23.333333333333332,Avoid,610.7999877929688
UCAL,4.0,12,10,1,0,0.0,0.0,0.01,Stable,5.460237118087874,False,False,False,45.65890105661467,22.5,Avoid,145.0500030517578
VIMTALABS,4.0,12,10,1,0,0.0,4.41,0.37,Rising,0.008114901455957835,False,False,False,54.869441913378225,22.5,Avoid,616.0499877929688
SHIVATEX,4.0,12,10,1,0,0.0,0.0,0.01,Declining,-4.515232075614617,False,False,False,20.19797440358188,22.5,Avoid,172.35000610351562
GULFPETRO,4.0,12,10,1,0,0.0,0.37,0.0,Stable,1.065401645240649,False,False,False,50.1646193438148,22.5,Avoid,61.65999984741211
ORIENTBELL,4.0,12,10,1,0,0.0,0.21,0.03,Stable,0.5378346831307113,False,False,False,26.665878365062472,22.5,Avoid,392.54998779296875
THEMISMED,4.0,12,10,1,0,0.0,0.01,0.01,Declining,1.933041441161687,False,False,False,35.36696444492281,22.5,Avoid,123.91999816894531
ASAHISONG,6.0,9,10,1,0,0.0,0.01,0.32,Declining,7.671700223809919,False,False,False,57.11878415869497,21.666666666666668,Avoid,381.75
SEAMECLTD,4.0,9,10,3,0,0.0,5.93,4.39,Declining,-2.193561808417288,False,False,False,44.96822859673995,21.666666666666668,Avoid,1698.800048828125
ADOR,4.0,9,10,3,0,0.0,1.05,10.47,Declining,1.821474882546159,False,False,False,33.9178687484501,21.666666666666668,Avoid,1576.4000244140625
TNPETRO,4.0,9,10,3,0,0.0,11.11,0.0,Declining,4.923306942891492,False,False,False,49.256057192187754,21.666666666666668,Avoid,130.35000610351562
PVP,4.0,9,10,1,0,0.0,0.13,0.0,Declining,1.0717762711713208,False,False,False,48.05783006702287,20.0,Avoid,62.2400016784668
ALPHAGEO,4.0,9,10,1,0,0.0,0.94,0.03,Stable,-0.7863496923274704,False,False,False,41.83448425467298,20.0,Avoid,296.5
SHANTIGOLD,4.0,9,10,1,0,0.0,4.63,1.8,Rising,4.356772390314023,False,False,False,43.804920581529686,20.0,Avoid,258.69000244140625
TOTAL,4.0,9,10,1,0,0.0,0.0,0.0,Declining,-7.010576097005538,False,False,False,51.57211822594676,20.0,Avoid,70.30000305175781
