Date,Symbol,Price,% change,Roc 10days,Rsi 14,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
21st Aug'26 3:29:00,MANGLMCEM,1027.95,4.7,9.57,70.91,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,NYKAA,334.0,1.1,0.602,57.81,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,ABCAPITAL,413.0,0.978,1.21,56.1,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,ATALREAL,33.48,0.09,-5.16,52.06,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,PAISALO,69.79,-0.229,1.62,52.92,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,ARMANFIN,1966.7,-0.324,-3.21,53.68,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,ARVIND,536.95,-0.38,-4.21,49.54,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,ARIHANT,1007.2,-2.72,-10.44,46.56,M Swing scan,,,,,,,,
21st Aug'26 3:29:00,LAMBODHARA,,,2.57,60.03,RSI 5 SWING TRADE STRATEGY,9.71,3.81,55.77,,,,,
21st Aug'26 3:29:00,AIIL,,,-7.43,50.12,RSI 5 SWING TRADE STRATEGY,3.75,2.4,53.79,,,,,
21st Aug'26 3:29:00,AEGISVOPAK,,,-3.15,50.35,RSI 5 SWING TRADE STRATEGY,3.64,-4.78,59.81,,,,,
21st Aug'26 3:29:00,PDMJEPAPER,,,-7.11,50.63,RSI 5 SWING TRADE STRATEGY,3.43,-4.4,52.95,,,,,
21st Aug'26 3:29:00,NESTLEIND,,,-4.08,49.04,RSI 5 SWING TRADE STRATEGY,1.31,-2.15,60.0,,,,,
21st Aug'26 3:29:00,KECL,,,-7.86,47.31,RSI 5 SWING TRADE STRATEGY,1.18,-4.04,58.04,,,,,
21st Aug'26 3:29:00,APLLTD,,,-1.01,51.38,RSI 5 SWING TRADE STRATEGY,0.94,3.1,55.72,,,,,
21st Aug'26 3:29:00,WELENT,,,,,Turtle strategy,,,,midcap,8.0,67.05,62.77,realty
21st Aug'26 3:29:00,AEROFLEX,,,,,Turtle strategy,,,,midcap,5.83,66.28,78.49,metals & mining
21st Aug'26 3:29:00,HINDCOPPER,,,,,Turtle strategy,,,,largecap,2.25,65.4,63.12,metals & mining
21st Aug'26 3:29:00,DCBBANK,,,,,Turtle strategy,,,,midcap,7.94,64.92,63.38,bank
21st Aug'26 3:29:00,AEGISLOG,,,,,Turtle strategy,,,,largecap,6.11,61.5,77.85,services
21st Aug'26 3:29:00,RATEGAIN,,,,,Turtle strategy,,,,midcap,4.91,60.93,68.08,i.t
21st Aug'26 3:29:00,TBZ,,,,,Turtle strategy,,,,smallcap,12.32,60.16,69.26,consumer discretionary
21st Aug'26 3:29:00,FEDERALBNK,,,,,Turtle strategy,,,,largecap,1.6,59.88,77.79,bank
21st Aug'26 3:29:00,PFOCUS,,,,,Turtle strategy,,,,largecap,5.08,58.87,65.21,realty
21st Aug'26 3:29:00,NYKAA,,,,,Turtle strategy,,,,largecap,1.1,57.81,68.43,i.t
21st Aug'26 3:29:00,INDIAGLYCO,,,,,Turtle strategy,,,,midcap,4.05,57.44,64.08,fmcg
21st Aug'26 3:29:00,VIYASH,,,,,Turtle strategy,,,,midcap,3.8,56.98,64.22,healthcare
21st Aug'26 3:29:00,KARURVYSYA,,,,,Turtle strategy,,,,largecap,0.419,56.29,73.05,bank
21st Aug'26 3:29:00,ABCAPITAL,,,,,Turtle strategy,,,,largecap,0.978,56.1,71.76,financials
21st Aug'26 3:29:00,MANAPPURAM,,,,,Turtle strategy,,,,largecap,2.36,55.44,67.74,financials
