Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
2nd Sep'26 3:29:00,CENTENKA,602.35,10.71,5.69,63.54,556.29,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,KHAITANLTD,160.8,7.59,8.06,64.47,147.77,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,PARAS,1413.1,2.39,-5.57,54.1,1447.31,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,FEDERALBNK,353.35,1.17,-1.52,52.23,349.79,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,PANAMAPET,489.75,0.554,0.02,55.13,478.06,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,SENORES,1449.5,-0.357,-6.54,50.47,1473.06,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,PIDILITIND,1637.0,-0.396,-0.788,48.19,1651.85,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,VISAKAIND,87.84,-1.4,-5.84,45.28,90.19,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,CHEMBONDCH,261.4,-2.32,-3.11,51.85,266.49,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,UYFINCORP,19.3,-2.72,-4.55,48.07,19.84,M Swing scan,,,,,,,,
2nd Sep'26 3:29:00,CENTENKA,602.35,,5.69,63.54,556.29,RSI 5 SWING TRADE STRATEGY,10.71,10.16,64.01,,,,,
2nd Sep'26 3:29:00,INDIANHUME,388.7,,7.02,54.02,387.23,RSI 5 SWING TRADE STRATEGY,4.45,2.05,58.61,,,,,
2nd Sep'26 3:29:00,DICIND,576.55,,-0.061,54.82,587.81,RSI 5 SWING TRADE STRATEGY,4.15,-0.043,59.83,,,,,
2nd Sep'26 3:29:00,MWL,39.2,,-4.97,47.85,39.4,RSI 5 SWING TRADE STRATEGY,3.95,3.38,63.46,,,,,
2nd Sep'26 3:29:00,REGAAL,90.78,,-7.04,52.92,92.25,RSI 5 SWING TRADE STRATEGY,3.28,1.98,54.86,,,,,
2nd Sep'26 3:29:00,KALYANKJIL,590.0,,-0.874,50.86,605.03,RSI 5 SWING TRADE STRATEGY,2.97,-1.83,66.11,,,,,
2nd Sep'26 3:29:00,ZENTEC,1829.1,,-5.36,51.35,1836.13,RSI 5 SWING TRADE STRATEGY,2.72,2.81,56.28,,,,,
2nd Sep'26 3:29:00,PARAS,1413.1,,-5.57,54.1,1447.31,RSI 5 SWING TRADE STRATEGY,2.39,-1.38,67.29,,,,,
2nd Sep'26 3:29:00,CHEVIOT,1150.6,,0.833,50.57,1145.33,RSI 5 SWING TRADE STRATEGY,2.31,1.44,53.96,,,,,
2nd Sep'26 3:29:00,360ONE,1181.3,,0.068,52.82,1190.36,RSI 5 SWING TRADE STRATEGY,1.35,0.536,57.68,,,,,
2nd Sep'26 3:29:00,BASF,3811.0,,-3.03,46.55,3839.9,RSI 5 SWING TRADE STRATEGY,1.33,0.613,51.83,,,,,
2nd Sep'26 3:29:00,M&MFIN,368.85,,-5.33,44.74,376.46,RSI 5 SWING TRADE STRATEGY,1.22,-1.11,56.39,,,,,
2nd Sep'26 3:29:00,RITCO,303.8,,-2.94,51.05,309.46,RSI 5 SWING TRADE STRATEGY,1.17,-1.19,61.81,,,,,
2nd Sep'26 3:29:00,BAJAJFINSV,1990.0,,-1.09,50.32,2001.46,RSI 5 SWING TRADE STRATEGY,0.913,-1.53,57.24,,,,,
2nd Sep'26 3:29:00,ANTELOPUS,,,,,,Turtle strategy,,,,smallcap,20.0,70.17,66.22,energy
2nd Sep'26 3:29:00,ZIMLAB,,,,,,Turtle strategy,,,,smallcap,13.57,66.63,63.28,healthcare
2nd Sep'26 3:29:00,ARROWGREEN,,,,,,Turtle strategy,,,,smallcap,5.0,61.45,62.32,plastic products
2nd Sep'26 3:29:00,BLUSPRING,,,,,,Turtle strategy,,,,smallcap,9.03,60.86,70.8,miscellaneous
2nd Sep'26 3:29:00,UNIVASTU,,,,,,Turtle strategy,,,,smallcap,4.99,59.56,79.22,realty
2nd Sep'26 3:29:00,KRONOX,,,,,,Turtle strategy,,,,smallcap,4.69,58.15,60.32,chemicals
2nd Sep'26 3:29:00,RBLBANK,,,,,,Turtle strategy,,,,largecap,2.34,58.05,70.97,bank
2nd Sep'26 3:29:00,LALPATHLAB,,,,,,Turtle strategy,,,,largecap,0.614,57.12,67.34,healthcare
2nd Sep'26 3:29:00,ICIL,,,,,,Turtle strategy,,,,midcap,3.16,57.1,63.0,textiles
2nd Sep'26 3:29:00,RUBYMILLS,,,,,,Turtle strategy,,,,smallcap,2.85,56.48,72.84,textiles
2nd Sep'26 3:29:00,PGIL,,,,,,Turtle strategy,,,,midcap,0.579,55.8,72.15,consumer discretionary
2nd Sep'26 3:29:00,PANAMAPET,,,,,,Turtle strategy,,,,smallcap,0.554,55.13,68.69,energy
