Date,Symbol,% change,Price,Volume,Scanner_Source,D change,M change,W rsi,Mcap,Change,Dpower,Mpower,Sector
24th Jul'26,AEROENTER,,,,Turtle strategy,,,,smallcap,2.99,56.67,60.6,metals & mining
24th Jul'26,VISHNU,,,,Turtle strategy,,,,smallcap,1.89,56.51,64.9,chemicals
24th Jul'26,CREDITACC,,,,Turtle strategy,,,,largecap,0.938,56.27,61.39,financials
24th Jul'26,GNA,,,,Turtle strategy,,,,smallcap,1.25,56.11,62.26,auto
24th Jul'26,PAYTM,,,,Turtle strategy,,,,largecap,2.1,56.08,60.15,i.t
24th Jul'26,BHEL,,,,Turtle strategy,,,,largecap,1.88,55.97,72.06,industrials
24th Jul'26,DIVGIITTS,,,,Turtle strategy,,,,smallcap,1.5,55.82,65.5,auto
24th Jul'26,ASHIANA,,,,Turtle strategy,,,,smallcap,1.96,55.51,61.37,realty
24th Jul'26,METROPOLIS,,,,Turtle strategy,,,,midcap,0.493,55.46,61.47,healthcare
24th Jul'26,SBCL,,,,Turtle strategy,,,,smallcap,0.339,55.43,65.79,metals & mining
24th Jul'26,ZIMLAB,,,,Turtle strategy,,,,smallcap,1.3,55.06,60.39,healthcare
