Date,Symbol,Price,% change,Roc 10days,Rsi 14,Sma 8,Scanner_Source,D change,M change,Rsi weekly,Mcap,Change,Dpower,Mpower,Sector
7th Sep'26 3:29:00,MONQ50,164.09,15.61,12.04,73.35,147.23,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,NRBBEARING,483.0,8.05,0.426,59.89,462.87,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,MASPTOP50,85.9,7.56,7.91,74.02,80.75,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,PAISALO,79.41,7.17,14.29,76.54,70.01,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,SENORES,1497.5,4.84,-1.2,57.82,1456.25,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,E2E,630.2,4.76,2.82,60.2,613.38,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,PLASTIBLEN,193.14,2.78,0.333,54.89,187.83,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,EMIL,178.24,2.59,-2.86,57.85,177.15,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,ROLEXRINGS,175.67,2.3,-3.05,55.97,176.94,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,SHAILY,3348.7,2.15,2.44,59.5,3270.57,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,DALMIASUG,447.8,2.11,-6.85,51.78,463.56,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,PFOCUS,311.75,1.55,1.28,62.23,294.32,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,MONARCH,383.25,1.42,-0.403,53.64,377.67,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,AJANTPHARM,3513.6,1.41,-1.85,48.78,3523.56,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,PNBHOUSING,1182.1,1.38,1.47,61.79,1160.4,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,LALPATHLAB,1901.9,1.3,0.961,52.9,1915.9,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,NEULANDLAB,22870.0,0.927,-0.153,57.93,23014.5,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,MOTHERSON,162.0,0.809,-4.14,49.33,164.49,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,RKFORGE,706.25,0.77,-3.05,49.09,728.14,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,SMALLCAP,49.27,0.757,0.798,62.4,48.98,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,IL&FSENGG,37.0,0.68,2.78,60.32,35.55,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,FINCABLES,1227.0,0.557,-5.0,52.44,1249.47,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,MANORAMA,2003.6,0.512,4.93,68.53,1909.72,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,NIFTYINDDEFENCE,9754.55,0.471,0.153,55.75,9709.46,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,GROWWDEFNC,97.75,0.339,0.68,56.24,97.14,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,DIACABS,332.6,0.241,-5.83,50.45,336.76,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,MOSMALL250,18.55,0.162,0.487,57.87,18.5,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,NIFTYSML250MQ100,49230.4,0.119,0.746,62.51,49007.63,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,INDOTECH,3666.6,0.096,-4.78,52.57,3674.05,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,MODEFENCE,107.24,0.093,0.196,56.39,106.5,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,NIFTYSMALLCAP50,10026.65,0.071,0.748,62.27,9972.82,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,SONACOMS,788.0,-0.127,-3.13,50.21,802.02,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,ACE,1113.2,-1.08,-4.63,50.49,1119.49,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,RADICO,4444.0,-1.11,-3.39,46.04,4517.94,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,VISAKAIND,92.17,-1.29,-0.367,53.83,90.27,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,SMARTLINK,210.82,-1.4,-6.62,45.86,215.62,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,GNA,543.2,-1.42,-2.2,52.47,540.02,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,FILATEX,76.59,-1.45,-8.88,49.19,76.31,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,MBAPL,163.01,-1.87,-3.49,54.49,162.28,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,YASHO,3987.8,-3.54,-7.44,47.65,4182.68,M Swing scan,,,,,,,,
7th Sep'26 3:29:00,NRBBEARING,483.0,,0.426,59.89,462.87,RSI 5 SWING TRADE STRATEGY,8.05,1.93,69.39,,,,,
7th Sep'26 3:29:00,SENORES,1497.5,,-1.2,57.82,1456.25,RSI 5 SWING TRADE STRATEGY,4.84,4.52,69.61,,,,,
7th Sep'26 3:29:00,NAM-INDIA,1195.0,,-4.23,51.86,1180.11,RSI 5 SWING TRADE STRATEGY,3.03,1.94,59.07,,,,,
7th Sep'26 3:29:00,EMIL,178.24,,-2.86,57.85,177.15,RSI 5 SWING TRADE STRATEGY,2.59,-1.31,68.82,,,,,
7th Sep'26 3:29:00,ROLEXRINGS,175.67,,-3.05,55.97,176.94,RSI 5 SWING TRADE STRATEGY,2.3,-2.72,62.09,,,,,
7th Sep'26 3:29:00,DALMIASUG,447.8,,-6.85,51.78,463.56,RSI 5 SWING TRADE STRATEGY,2.11,-7.51,62.55,,,,,
7th Sep'26 3:29:00,LALPATHLAB,1901.9,,0.961,52.9,1915.9,RSI 5 SWING TRADE STRATEGY,1.3,-1.69,67.35,,,,,
7th Sep'26 3:29:00,NEULANDLAB,22870.0,,-0.153,57.93,23014.5,RSI 5 SWING TRADE STRATEGY,0.927,-0.608,73.02,,,,,
7th Sep'26 3:29:00,MOTHERSON,162.0,,-4.14,49.33,164.49,RSI 5 SWING TRADE STRATEGY,0.809,-5.09,65.37,,,,,
7th Sep'26 3:29:00,RKFORGE,706.25,,-3.05,49.09,728.14,RSI 5 SWING TRADE STRATEGY,0.77,-5.02,63.67,,,,,
7th Sep'26 3:29:00,DWARKESH,47.38,,-13.76,49.18,49.68,RSI 5 SWING TRADE STRATEGY,0.148,-9.61,54.83,,,,,
7th Sep'26 3:29:00,SYRMA,,,,,,Turtle strategy,,,,largecap,12.18,72.37,84.27,consumer discretionary
7th Sep'26 3:29:00,VENUSPIPES,,,,,,Turtle strategy,,,,smallcap,10.69,70.31,61.43,metals & mining
7th Sep'26 3:29:00,PARAS,,,,,,Turtle strategy,,,,midcap,5.27,62.01,78.82,aerospace & defence
7th Sep'26 3:29:00,TALBROAUTO,,,,,,Turtle strategy,,,,smallcap,5.9,60.91,69.32,auto
7th Sep'26 3:29:00,E2E,,,,,,Turtle strategy,,,,midcap,4.76,60.2,74.22,i.t
7th Sep'26 3:29:00,NRBBEARING,,,,,,Turtle strategy,,,,smallcap,8.05,59.89,69.08,industrials
7th Sep'26 3:29:00,SHAILY,,,,,,Turtle strategy,,,,midcap,2.15,59.5,74.05,plastic products
7th Sep'26 3:29:00,LAURUSLABS,,,,,,Turtle strategy,,,,largecap,1.99,59.32,82.62,healthcare
7th Sep'26 3:29:00,BOSCHLTD,,,,,,Turtle strategy,,,,largecap,2.57,59.2,67.77,auto
7th Sep'26 3:29:00,MUNJALAU,,,,,,Turtle strategy,,,,smallcap,3.35,59.18,62.16,auto
7th Sep'26 3:29:00,HFCL,,,,,,Turtle strategy,,,,largecap,5.0,59.15,77.23,telecom
7th Sep'26 3:29:00,SANSERA,,,,,,Turtle strategy,,,,largecap,3.01,58.33,81.24,auto
7th Sep'26 3:29:00,ALIVUS,,,,,,Turtle strategy,,,,midcap,1.65,58.13,71.67,healthcare
7th Sep'26 3:29:00,SENORES,,,,,,Turtle strategy,,,,midcap,4.84,57.82,87.85,healthcare
7th Sep'26 3:29:00,PRICOLLTD,,,,,,Turtle strategy,,,,midcap,1.88,57.35,68.45,auto
7th Sep'26 3:29:00,RPTECH,,,,,,Turtle strategy,,,,midcap,3.61,55.99,81.64,i.t
7th Sep'26 3:29:00,AUROPHARMA,,,,,,Turtle strategy,,,,largecap,0.417,55.93,69.59,healthcare
7th Sep'26 3:29:00,SKYGOLD,,,,,,Turtle strategy,,,,midcap,0.857,55.87,79.51,consumer discretionary
7th Sep'26 3:29:00,EBGNG,,,,,,Turtle strategy,,,,midcap,2.97,55.28,69.37,services
7th Sep'26 3:29:00,NEOGEN,,,,,,Turtle strategy,,,,midcap,3.24,55.15,63.26,chemicals
7th Sep'26 3:29:00,HNDFDS,,,,,,Turtle strategy,,,,midcap,2.25,55.1,60.99,fmcg
7th Sep'26 3:29:00,CHEMBONDCH,,,,,,Turtle strategy,,,,smallcap,4.99,55.04,63.63,chemicals
